accession number,host,location,collection date
MT466071,Homo Sapiens,Uruguay,2020-03-13
MT499220,Homo sapiens,Tunisia,2020-03-31
MT447176,Homo sapiens,Thailand,2020-03-20
MT531537,Homo sapiens,Italy,2020-03-01
MT470177,Homo sapiens,France,2020-03-15
MT358639,Homo sapiens,Germany,2020-02-20
MT259229,Homo sapiens,"China: Hubei, Wuhan",2020-01-26
MT350282,Homo sapiens,Brazil,2020-03-18
MT407659,Homo sapiens,China: Zhejiang,2020-03-24
MT451640,Homo sapiens,Australia,2020-03-25
MT434809,Homo sapiens,USA: NY,2020-03-19
MT434808,Homo sapiens,USA: NY,2020-03-19
MT633004,Homo sapiens,USA: Washington,2020-03-23
MT632947,Homo sapiens,USA: Washington,2020-03-23
