Strain	Location	Host	Submission Date	Collection Data	Author
MT259229/CHN/Wuhan_YB012602/2020-01-26	China:Hubei,Wuhan	Homo sapiens	2020-03-30T00:00:00Z	2020-01-26	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.
MT350282/BRA/SP02cc/2020-03-18	Brazil	Homo sapiens	2020-04-17T00:00:00Z	2020-03-18	Malta,F., Amgarten,D., de Oliveira,D.B.L., Araujo,D.B., Machado,R.R.G., Santana,R.A.F., Mangueira,C.L.P., Durigon,E.L., Pinho,J.R.R.
MT447176/THA/SI206917-NT/2020-03-20	Thailand	Homo sapiens	2020-05-08T00:00:00Z	2020-03-20	Rodpan,A., Joyjinda,Y., Wacharapluesadee,S., Buathong,R., Ghai,S., Petcharat,S., Bunprakob,S., Sirichan,N., Prasithsirikul,W., Mungaomklang,A., Plipat,T., Hemachudha,T.
MT466071/URY/Mdeo-1/2020-03-13	Uruguay	Homo sapiens	2020-05-14T00:00:00Z	2020-03-13	Panzera,Y., Delfraro,A., Ramos,N., Frabasile,S., Calleros,L., Techera,C., Grecco,S., Fuques,E., Goni,N., Coppola,L., Ramos,V., Chiparelli,H., Arbiza,J., Perez,R.
MT632947/USA/WA-S542/2020-03-23	USA:Washington,AdamsCounty	Homo sapiens	2020-06-17T00:00:00Z	2020-03-23	Nickerson,D.A., Frazar,C.D., Lee,J., Pelle,B., Richardson,M., Adler,A., Brandstetter,E., Han,P.D., Fay,K., Ilcisin,M., Lacombe,K., Sibley,T.R., Truong,M., Wolf,C.R., Gautom,R., Melly,G., Hiatt,B., Dykema,P., Lindquist,S., Boeckh,M., Englund,J.A., Famulare,M., Lutz,B.R., Rieder,M.J., Starita,L.M., Thompson,M., Chu,H.Y., Shendure,J., Bedford,T.
MT633004/USA/WA-S546/2020-03-23	USA:Washington,AdamsCounty	Homo sapiens	2020-06-17T00:00:00Z	2020-03-23	Nickerson,D.A., Frazar,C.D., Lee,J., Pelle,B., Richardson,M., Adler,A., Brandstetter,E., Han,P.D., Fay,K., Ilcisin,M., Lacombe,K., Sibley,T.R., Truong,M., Wolf,C.R., Gautom,R., Melly,G., Hiatt,B., Dykema,P., Lindquist,S., Boeckh,M., Englund,J.A., Famulare,M., Lutz,B.R., Rieder,M.J., Starita,L.M., Thompson,M., Chu,H.Y., Shendure,J., Bedford,T.
MT470177/France/10070SK/2020-03-15	France	Homo sapiens	2020-05-14T00:00:00Z	2020-03-15	De Prost,N., Fourati,S., Lamoureux,C., Schmitz,D., Deveaux,I., Picard,O., Lepeule,R., Surgers,L., Mekontso-Dessap,A., Woerther,P.-L., Canoui-Poitrine,F., Pawlotsky,J.-M., Clinical Study Group,C., Rodrigue,C., Gricourt,G., N'debi,M., Demontant,V., Trawinski,E.
MT451640/AUS/VIC938/2020-03-25	Australia:Victoria	Homo sapiens	2020-05-11T00:00:00Z	2020-03-25	Seemann,T., Lane,C.R., Sherry,N.L., Duchene,S., Goncalves da Silva,A., Caly,L., Sait,M., Ballard,S.A., Horan,K., Schultz,M.B., Hoang,T., Easton,M., Dougal,S., Stinear,T.P., Druce,J., Catton,M., Sutton,B., van Diemen,A., Alpren,C., Williamson,D.A., Howden,B.P.
MT358639/DEU/FFM3/2020-02-20	Germany	Homo sapiens	2020-05-14T00:00:00Z	2020-02-20	Toptan,T., Hoehl,S., Berger,A., Rotter,B., Hoffmeier,K., Westhaus,S., Bojkova,D., Ciesek,S., Widera,M.
MT531537/ITA/Siena-1/2020-03-01	Italy	Homo sapiens	2020-05-28T00:00:00Z	2020-03-01	Cusi,M.G., Pinzauti,D., Gandolfo,C., Anichini,G., Pozzi,G., Santoro,F.
MT407659/CHN/OS4/2020-03-24	China:Zhejiang	Homo sapiens	2020-05-29T00:00:00Z	2020-03-24	Gao,Q., Bao,L., Mao,H., Wang,L., Xu,K., Yang,M., Li,Y., Zhu,L., Wang,N., Lv,Z., Gao,H., Ge,X., Kan,B., Hu,Y., Liu,J., Cai,F., Jiang,D., Yin,Y., Qin,C., Li,J., Gong,X., Lou,X., Shi,W., Wu,D., Zhang,H., Deng,W., Lu,J., Li,C., Wang,X., Yin,W., Zhang,Y., Sun,Y.
MT499220/TUN/COV1482/2020-03-31	Tunisia	Homo sapiens	2020-06-08T00:00:00Z	2020-03-31	Fares,W., Triki,H.
MT434808/USA/NY-CDC-SURV0982NYC/2020-03-19	USA:NY	Homo sapiens	2020-05-06T00:00:00Z	2020-03-19	Tao,Y., Queen,K., Harrison,C., Rakeman,J., Paden,C.R., Zhang,J., Uehara,A., Li,Y., Wang,H., Padilla,J., Lee,J., Bankamp,B., Weiner,Z., Tong,S.
MT434809/USA/NY-CDC-SURV0983NYC/2020-03-19	USA:NY	Homo sapiens	2020-05-06T00:00:00Z	2020-03-19	Tao,Y., Queen,K., Harrison,C., Rakeman,J., Paden,C.R., Zhang,J., Uehara,A., Li,Y., Wang,H., Padilla,J., Lee,J., Bankamp,B., Weiner,Z., Tong,S.
