Date,Cases,Cases_per_Day
2020-03-02,8500,0
2020-03-03,9222,722
2020-03-04,10619,1397
2020-03-05,12555,1936
2020-03-06,14979,2424
2020-03-07,17888,2909
2020-03-08,21313,3425
2020-03-09,25309,3996
2020-03-10,29953,4644
2020-03-11,35335,5382
2020-03-12,41568,6233
2020-03-13,43348,1780
2020-03-14,45274,1926
2020-03-15,47281,2007
2020-03-16,49320,2039
2020-03-17,51363,2043
2020-03-18,53387,2024
2020-03-19,55381,1994
2020-03-20,57335,1954
2020-03-21,59244,1909
2020-03-22,61106,1862
2020-03-23,62918,1812
2020-03-24,64681,1763
2020-03-25,66394,1713
2020-03-26,68057,1663
2020-03-27,69672,1615
2020-03-28,71240,1568
2020-03-29,72761,1521
2020-03-30,74237,1476
2020-03-31,75670,1433
2020-04-01,77060,1390
2020-04-02,78408,1348
2020-04-03,79716,1308
2020-04-04,80985,1269
2020-04-05,82215,1230
2020-04-06,83409,1194
2020-04-07,84568,1159
2020-04-08,85691,1123
2020-04-09,86781,1090
2020-04-10,87839,1058
2020-04-11,88865,1026
2020-04-12,89860,995
2020-04-13,90825,965
2020-04-14,91761,936
2020-04-15,92669,908
2020-04-16,93550,881
2020-04-17,94405,855
2020-04-18,95234,829
2020-04-19,96038,804
2020-04-20,96818,780
2020-04-21,97575,757
2020-04-22,98309,734
2020-04-23,99021,712
2020-04-24,99712,691
2020-04-25,100382,670
2020-04-26,101032,650
2020-04-27,101662,630
2020-04-28,102274,612
2020-04-29,102867,593
2020-04-30,103443,576
