Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	21	0	21	21	0	21	0	0	0	8.36	0.0	8.36	8.36	0.0	8.36	0.0	0.0	0.0			
-100	2020-03-11	29	0	29	8	0	8	0	0	0	11.545	0.0	11.545	3.185	0.0	3.185	0.0	0.0	0.0			
-99	2020-03-12	54	0	54	25	0	25	0	0	0	21.498	0.0	21.498	9.953	0.0	9.953	0.0	0.0	0.0			
-98	2020-03-13	75	0	75	21	0	21	0	0	0	29.858	0.0	29.858	8.36	0.0	8.36	0.0	0.0	0.0			
-97	2020-03-14	89	0	89	14	0	14	0	0	0	35.431	0.0	35.431	5.573	0.0	5.573	0.0	0.0	0.0			
-95	2020-03-16	130	0	130	41	0	41	0	0	0	51.754	0.0	51.754	16.322	0.0	16.322	0.0	0.0	0.0			
-94	2020-03-17	195	0	195	65	0	65	0	0	0	77.63	0.0	77.63	25.877	0.0	25.877	0.0	0.0	0.0			
-93	2020-03-18	242	0	242	47	0	47	221	0	221	96.341	0.0	96.341	18.711	0.0	18.711	87.981	0.0	87.981			
-92	2020-03-19	297	1	296	55	1	54	268	1	267	118.237	0.398	117.839	21.896	0.398	21.498	106.692	0.398	106.294			
-91	2020-03-20	361	2	359	64	1	63	307	2	305	143.716	0.796	142.92	25.479	0.398	25.081	122.218	0.796	121.422			
-90	2020-03-21	385	2	383	24	0	24	310	2	308	153.27	0.796	152.474	9.555	0.0	9.555	123.413	0.796	122.616			
-89	2020-03-22	407	2	405	22	0	22	318	2	316	162.029	0.796	161.233	8.758	0.0	8.758	126.597	0.796	125.801			
-88	2020-03-23	460	2	458	53	0	53	330	2	328	183.128	0.796	182.332	21.1	0.0	21.1	131.375	0.796	130.578			
-87	2020-03-24	515	2	513	55	0	55	320	2	318	205.024	0.796	204.228	21.896	0.0	21.896	127.394	0.796	126.597			
-86	2020-03-25	611	6	605	96	4	92	369	6	363	243.242	2.389	240.854	38.218	1.592	36.626	146.901	2.389	144.512			
-85	2020-03-26	685	8	677	74	2	72	388	7	381	272.702	3.185	269.517	29.46	0.796	28.664	154.465	2.787	151.678			
-84	2020-03-27	764	13	751	79	5	74	403	11	392	304.152	5.175	298.977	31.45	1.991	29.46	160.436	4.379	156.057			
-83	2020-03-28	808	13	795	44	0	44	423	11	412	321.669	5.175	316.493	17.517	0.0	17.517	168.398	4.379	164.019			
-82	2020-03-29	835	13	822	27	0	27	428	11	417	332.418	5.175	327.242	10.749	0.0	10.749	170.389	4.379	166.01			
-81	2020-03-30	930	25	905	95	12	83	470	23	447	370.238	9.953	360.285	37.82	4.777	33.043	187.109	9.156	177.953			
-80	2020-03-31	1059	33	1026	129	8	121	544	31	513	421.593	13.137	408.456	51.356	3.185	48.171	216.569	12.341	204.228			
-79	2020-04-01	1131	40	1091	72	7	65	520	34	486	450.257	15.924	434.333	28.664	2.787	25.877	207.015	13.536	193.479			
-78	2020-04-02	1256	49	1207	125	9	116	571	41	530	500.02	19.507	480.513	49.763	3.583	46.18	227.318	16.322	210.996			
-77	2020-04-03	1394	64	1330	138	15	123	630	51	579	554.958	25.479	529.48	54.938	5.972	48.967	250.806	20.303	230.503			
-76	2020-04-04	1434	66	1368	40	2	38	626	53	573	570.883	26.275	544.608	15.924	0.796	15.128	249.214	21.1	228.114			
-75	2020-04-05	1459	69	1390	25	3	22	624	56	568	580.835	27.469	553.366	9.953	1.194	8.758	248.418	22.294	226.124			
-74	2020-04-06	1532	74	1458	73	5	68	602	49	553	609.897	29.46	580.437	29.062	1.991	27.071	239.659	19.507	220.152			
-73	2020-04-07	1640	82	1558	108	8	100	581	49	532	652.892	32.645	620.248	42.995	3.185	39.811	231.299	19.507	211.792			
-72	2020-04-08	1758	85	1673	118	3	115	627	45	582	699.869	33.839	666.03	46.976	1.194	45.782	249.612	17.915	231.697			
-71	2020-04-09	1873	95	1778	115	10	105	617	46	571	745.651	37.82	707.831	45.782	3.981	41.801	245.631	18.313	227.318			
-70	2020-04-10	1947	97	1850	74	2	72	553	33	520	775.11	38.616	736.494	29.46	0.796	28.664	220.152	13.137	207.015			
-69	2020-04-11	1996	102	1894	49	5	44	562	36	526	794.618	40.607	754.011	19.507	1.991	17.517	223.735	14.332	209.403			
-68	2020-04-12	2040	108	1932	44	6	38	581	39	542	812.134	42.995	769.139	17.517	2.389	15.128	231.299	15.526	215.773			
-67	2020-04-13	2052	108	1944	12	0	12	520	34	486	816.912	42.995	773.916	4.777	0.0	4.777	207.015	13.536	193.479			
-66	2020-04-14	2107	110	1997	55	2	53	467	28	439	838.807	43.792	795.016	21.896	0.796	21.1	185.915	11.147	174.768			
-65	2020-04-15	2173	119	2054	66	9	57	415	34	381	865.082	47.374	817.708	26.275	3.583	22.692	165.214	13.536	151.678			
-64	2020-04-16	2234	124	2110	61	5	56	361	29	332	889.367	49.365	840.002	24.284	1.991	22.294	143.716	11.545	132.171			
-63	2020-04-17	2343	124	2219	109	0	109	396	27	369	932.76	49.365	883.395	43.393	0.0	43.393	157.65	10.749	146.901			
-62	2020-04-18	2404	128	2276	61	4	57	408	26	382	957.044	50.957	906.087	24.284	1.592	22.692	162.427	10.351	152.076			
-60	2020-04-20	2490	139	2351	86	11	75	450	31	419	991.282	55.337	935.945	34.237	4.379	29.858	179.147	12.341	166.806			
-59	2020-04-21	2557	142	2415	67	3	64	505	34	471	1017.955	56.531	961.424	26.673	1.194	25.479	201.043	13.536	187.507			
-58	2020-04-22	2608	143	2465	51	1	50	501	33	468	1038.258	56.929	981.329	20.303	0.398	19.905	199.451	13.137	186.313			
-56	2020-04-24	2734	147	2586	126	4	121	561	28	532	1088.419	58.521	1029.5	50.161	1.592	48.171	223.337	11.147	211.792			
-55	2020-04-25	2758	148	2609	24	1	23	524	24	499	1097.974	58.92	1038.656	9.555	0.398	9.156	208.607	9.555	198.654			
-53	2020-04-27	2803	151	2651	45	3	42	460	27	432	1115.888	60.114	1055.376	17.915	1.194	16.72	183.128	10.749	171.981			
-52	2020-04-28	2870	153	2716	67	2	65	466	25	440	1142.561	60.91	1081.253	26.673	0.796	25.877	185.517	9.953	175.166			
-51	2020-04-29	2907	154	2752	37	1	36	417	15	401	1157.291	61.308	1095.585	14.73	0.398	14.332	166.01	5.972	159.64			
-50	2020-04-30	2942	156	2785	35	2	33	385	14	370	1171.225	62.104	1108.722	13.934	0.796	13.137	153.27	5.573	147.299			
-49	2020-05-01	2975	157	2817	33	1	32	367	14	352	1184.362	62.502	1121.462	13.137	0.398	12.739	146.105	5.573	140.133			
-48	2020-05-02	2991	157	2833	16	0	16	257	10	247	1190.732	62.502	1127.832	6.37	0.0	6.37	102.313	3.981	98.332			
-46	2020-05-04	3016	159	2856	25	2	23	258	11	247	1200.685	63.299	1136.988	9.953	0.796	9.156	102.711	4.379	98.332			
-45	2020-05-05	3060	159	2900	44	0	44	257	8	249	1218.201	63.299	1154.505	17.517	0.0	17.517	102.313	3.185	99.128			
-44	2020-05-06	3086	159	2926	26	0	26	216	6	210	1228.552	63.299	1164.855	10.351	0.0	10.351	85.991	2.389	83.602			
-43	2020-05-07	3098	159	2938	12	0	12	191	5	186	1233.329	63.299	1169.633	4.777	0.0	4.777	76.038	1.991	74.048			
-41	2020-05-09	3120	159	2960	22	0	22	178	3	175	1242.088	63.299	1178.391	8.758	0.0	8.758	70.863	1.194	69.668			
-39	2020-05-11	3133	159	2973	13	0	13	158	2	156	1247.263	63.299	1183.566	5.175	0.0	5.175	62.901	0.796	62.104			
-38	2020-05-12	3139	159	2979	6	0	6	148	2	146	1249.652	63.299	1185.955	2.389	0.0	2.389	58.92	0.796	58.123			
-37	2020-05-13	3149	160	2988	10	1	9	133	1	132	1253.633	63.697	1189.538	3.981	0.398	3.583	52.948	0.398	52.55			
-36	2020-05-14	3165	160	3004	16	0	16	105	1	104	1260.002	63.697	1195.907	6.37	0.0	6.37	41.801	0.398	41.403			
-35	2020-05-15	3172	160	3011	7	0	7	86	1	85	1262.789	63.697	1198.694	2.787	0.0	2.787	34.237	0.398	33.839			
-34	2020-05-16	3185	160	3024	13	0	13	87	1	86	1267.964	63.697	1203.87	5.175	0.0	5.175	34.635	0.398	34.237			
-31	2020-05-19	3196	160	3035	11	0	11	76	1	75	1272.344	63.697	1208.249	4.379	0.0	4.379	30.256	0.398	29.858			
-30	2020-05-20	3209	160	3048	13	0	13	76	1	75	1277.519	63.697	1213.424	5.175	0.0	5.175	30.256	0.398	29.858			
-21	2020-05-29	3271	162	3104	62	2	56	132	3	125	1302.202	64.493	1235.718	24.683	0.796	22.294	52.55	1.194	49.763			
-14	2020-06-05	3303	163	3123	32	1	19	154	3	135	1314.941	64.891	1243.282	12.739	0.398	7.564	61.308	1.194	53.744			
-10	2020-06-09	3319	163	3135	16	0	12	154	3	131	1321.311	64.891	1248.059	6.37	0.0	4.777	61.308	1.194	52.152			
-9	2020-06-10	3325	163	3136	6	0	1	153	3	125	1323.699	64.891	1248.457	2.389	0.0	0.398	60.91	1.194	49.763			
-7	2020-06-12	3338	163	3139	13	0	3	153	3	115	1328.875	64.891	1249.652	5.175	0.0	1.194	60.91	1.194	45.782			
-4	2020-06-15	3356	163	3141	18	0	2	160	3	106	1336.04	64.891	1250.448	7.166	0.0	0.796	63.697	1.194	42.199			
-3	2020-06-16	3368	163	3142	12	0	1	159	3	94	1340.818	64.891	1250.846	4.777	0.0	0.398	63.299	1.194	37.422			
0	2020-06-19	3389	163	3142	21	0	0	118	1	38	1349.178	64.891	1250.846	8.36	0.0	0.0	46.976	0.398	15.128			
