Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	92	0	92	92	0	92	0	0	0	25.241	0.0	25.241	25.241	0.0	25.241	0.0	0.0	0.0			
-100	2020-03-11	134	0	134	42	0	42	0	0	0	36.765	0.0	36.765	11.523	0.0	11.523	0.0	0.0	0.0			
-99	2020-03-12	181	0	181	47	0	47	0	0	0	49.66	0.0	49.66	12.895	0.0	12.895	0.0	0.0	0.0			
-98	2020-03-13	240	0	240	59	0	59	0	0	0	65.847	0.0	65.847	16.187	0.0	16.187	0.0	0.0	0.0			
-97	2020-03-14	269	0	269	29	0	29	0	0	0	73.804	0.0	73.804	7.957	0.0	7.957	0.0	0.0	0.0			
-95	2020-03-16	358	0	358	89	0	89	0	0	0	98.222	0.0	98.222	24.418	0.0	24.418	0.0	0.0	0.0			
-94	2020-03-17	451	0	451	93	0	93	0	0	0	123.738	0.0	123.738	25.516	0.0	25.516	0.0	0.0	0.0			
-93	2020-03-18	597	2	595	146	2	144	505	2	503	163.795	0.549	163.246	40.057	0.549	39.508	138.554	0.549	138.005			
-92	2020-03-19	777	3	774	180	1	179	643	3	640	213.18	0.823	212.357	49.385	0.274	49.111	176.416	0.823	175.593			
-91	2020-03-20	947	5	942	170	2	168	766	5	761	259.822	1.372	258.45	46.642	0.549	46.093	210.162	1.372	208.791			
-90	2020-03-21	1075	7	1068	128	2	126	835	7	828	294.941	1.921	293.02	35.119	0.549	34.57	229.094	1.921	227.173			
-89	2020-03-22	1143	8	1135	68	1	67	874	8	866	313.597	2.195	311.403	18.657	0.274	18.382	239.794	2.195	237.599			
-88	2020-03-23	1302	12	1290	159	4	155	944	12	932	357.221	3.292	353.929	43.624	1.097	42.526	258.999	3.292	255.707			
-87	2020-03-24	1502	17	1485	200	5	195	1051	17	1034	412.094	4.664	407.43	54.873	1.372	53.501	288.356	4.664	283.692			
-86	2020-03-25	1747	19	1728	245	2	243	1150	17	1133	479.313	5.213	474.1	67.219	0.549	66.67	315.518	4.664	310.854			
-85	2020-03-26	2033	23	2010	286	4	282	1256	20	1236	557.781	6.31	551.471	78.468	1.097	77.371	344.601	5.487	339.113			
-84	2020-03-27	2238	28	2210	205	5	200	1291	23	1268	614.025	7.682	606.343	56.245	1.372	54.873	354.203	6.31	347.893			
-83	2020-03-28	2435	31	2404	197	3	194	1360	24	1336	668.075	8.505	659.57	54.05	0.823	53.227	373.134	6.585	366.55			
-82	2020-03-29	2522	35	2487	87	4	83	1379	27	1352	691.945	9.603	682.342	23.87	1.097	22.772	378.347	7.408	370.939			
-81	2020-03-30	2689	39	2650	167	4	163	1387	27	1360	737.763	10.7	727.063	45.819	1.097	44.721	380.542	7.408	373.134			
-80	2020-03-31	2902	42	2860	213	3	210	1400	25	1375	796.203	11.523	784.68	58.439	0.823	57.616	384.109	6.859	377.25			
-79	2020-04-01	3089	50	3039	187	8	179	1342	31	1311	847.509	13.718	833.791	51.306	2.195	49.111	368.196	8.505	359.691			
-78	2020-04-02	3326	57	3269	237	7	230	1293	34	1259	912.533	15.639	896.894	65.024	1.921	63.104	354.752	9.328	345.424			
-77	2020-04-03	3565	74	3491	239	17	222	1327	46	1281	978.106	20.303	957.803	65.573	4.664	60.909	364.08	12.621	351.46			
-76	2020-04-04	3672	76	3596	107	2	105	1237	45	1192	1007.463	20.852	986.611	29.357	0.549	28.808	339.388	12.346	327.041			
-75	2020-04-05	3750	81	3669	78	5	73	1228	46	1182	1028.863	22.223	1006.64	21.4	1.372	20.029	336.918	12.621	324.298			
-74	2020-04-06	3894	90	3804	144	9	135	1205	51	1154	1068.371	24.693	1043.679	39.508	2.469	37.039	330.608	13.993	316.615			
-73	2020-04-07	4096	105	3991	202	15	187	1194	63	1131	1123.793	28.808	1094.985	55.421	4.115	51.306	327.59	17.285	310.305			
-72	2020-04-08	4274	111	4163	178	6	172	1185	61	1124	1172.629	30.454	1142.175	48.837	1.646	47.191	325.121	16.736	308.385			
-71	2020-04-09	4447	121	4326	173	10	163	1121	64	1057	1220.094	33.198	1186.896	47.465	2.744	44.721	307.561	17.559	290.002			
-70	2020-04-10	4529	126	4403	82	5	77	964	52	912	1242.592	34.57	1208.022	22.498	1.372	21.126	264.486	14.267	250.219			
-69	2020-04-11	4615	127	4488	86	1	85	943	51	892	1266.187	34.844	1231.343	23.595	0.274	23.321	258.725	13.993	244.732			
-68	2020-04-12	4668	127	4541	53	0	53	918	46	872	1280.729	34.844	1245.885	14.541	0.0	14.541	251.866	12.621	239.245			
-67	2020-04-13	4727	130	4597	59	3	56	833	40	793	1296.916	35.667	1261.249	16.187	0.823	15.364	228.545	10.975	217.57			
-66	2020-04-14	4801	131	4670	74	1	73	705	26	679	1317.219	35.942	1281.277	20.303	0.274	20.029	193.426	7.133	186.293			
-65	2020-04-15	4914	133	4781	113	2	111	640	22	618	1348.222	36.49	1311.732	31.003	0.549	30.454	175.593	6.036	169.557			
-64	2020-04-16	5008	136	4872	94	3	91	561	15	546	1374.012	37.313	1336.699	25.79	0.823	24.967	153.918	4.115	149.802			
-63	2020-04-17	5128	142	4986	120	6	114	599	16	583	1406.936	38.96	1367.976	32.924	1.646	31.277	164.344	4.39	159.954			
-62	2020-04-18	5209	146	5063	81	4	77	594	19	575	1429.159	40.057	1389.102	22.223	1.097	21.126	162.972	5.213	157.759			
-60	2020-04-20	5287	149	5138	78	3	75	619	22	597	1450.56	40.88	1409.68	21.4	0.823	20.577	169.831	6.036	163.795			
-59	2020-04-21	5363	151	5212	76	2	74	636	21	615	1471.411	41.429	1429.982	20.852	0.549	20.303	174.495	5.762	168.734			
-58	2020-04-22	5444	158	5286	81	7	74	643	27	616	1493.635	43.349	1450.285	22.223	1.921	20.303	176.416	7.408	169.008			
-56	2020-04-24	5603	163	5440	159	5	154	689	30	659	1537.259	44.721	1492.537	43.624	1.372	42.252	189.036	8.231	180.806			
-55	2020-04-25	5657	169	5488	54	6	48	649	33	616	1552.074	46.367	1505.707	14.816	1.646	13.169	178.062	9.054	169.008			
