Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	399	7	392	399	7	392	0	0	0	36.045	0.632	35.413	36.045	0.632	35.413	0.0	0.0	0.0			
-100	2020-03-11	545	12	533	146	5	141	0	0	0	49.234	1.084	48.15	13.189	0.452	12.738	0.0	0.0	0.0			
-99	2020-03-12	733	16	717	188	4	184	0	0	0	66.218	1.445	64.773	16.984	0.361	16.622	0.0	0.0	0.0			
-98	2020-03-13	1047	20	1027	314	4	310	0	0	0	94.584	1.807	92.777	28.366	0.361	28.005	0.0	0.0	0.0			
-97	2020-03-14	1373	29	1344	326	9	317	0	0	0	124.035	2.62	121.415	29.45	0.813	28.637	0.0	0.0	0.0			
-95	2020-03-16	1984	45	1939	611	16	595	0	0	0	179.231	4.065	175.166	55.197	1.445	53.751	0.0	0.0	0.0			
-94	2020-03-17	2583	57	2526	599	12	587	0	0	0	233.344	5.149	228.195	54.113	1.084	53.029	0.0	0.0	0.0			
-93	2020-03-18	3384	76	3308	801	19	782	2985	69	2916	305.705	6.866	298.839	72.361	1.716	70.645	269.66	6.233	263.427			
-92	2020-03-19	4038	95	3943	654	19	635	3493	83	3410	364.786	8.582	356.204	59.081	1.716	57.365	315.552	7.498	308.054			
-91	2020-03-20	4884	124	4760	846	29	817	4151	108	4043	441.212	11.202	430.01	76.426	2.62	73.806	374.994	9.757	365.238			
-90	2020-03-21	5448	142	5306	564	18	546	4401	122	4279	492.163	12.828	479.335	50.951	1.626	49.325	397.579	11.021	386.558			
-89	2020-03-22	5996	162	5834	548	20	528	4623	133	4490	541.669	14.635	527.034	49.505	1.807	47.699	417.634	12.015	405.619			
-88	2020-03-23	6641	190	6451	645	28	617	4657	145	4512	599.937	17.164	582.772	58.268	2.529	55.739	420.706	13.099	407.606			
-87	2020-03-24	7829	234	7595	1188	44	1144	5246	177	5069	707.259	21.139	686.12	107.322	3.975	103.347	473.915	15.99	457.925			
-86	2020-03-25	9016	279	8737	1187	45	1142	5632	203	5429	814.49	25.204	789.286	107.232	4.065	103.166	508.785	18.339	490.447			
-85	2020-03-26	10233	352	9881	1217	73	1144	6195	257	5938	924.432	31.799	892.633	109.942	6.595	103.347	559.646	23.217	536.429			
-84	2020-03-27	11484	401	11083	1251	49	1202	6600	277	6323	1037.445	36.226	1001.22	113.013	4.427	108.587	596.233	25.024	571.209			
-83	2020-03-28	12491	460	12031	1007	59	948	7043	318	6725	1128.416	41.556	1086.86	90.971	5.33	85.641	636.253	28.728	607.525			
-82	2020-03-29	13151	491	12660	660	31	629	7155	329	6826	1188.039	44.356	1143.683	59.623	2.8	56.823	646.371	29.721	616.649			
-81	2020-03-30	14083	549	13534	932	58	874	7442	359	7083	1272.235	49.596	1222.639	84.195	5.24	78.956	672.298	32.431	639.866			
-80	2020-03-31	15312	633	14679	1229	84	1145	7483	399	7084	1383.26	57.184	1326.076	111.026	7.588	103.437	676.002	36.045	639.957			
-79	2020-04-01	16553	720	15833	1241	87	1154	7537	441	7096	1495.37	65.044	1430.327	112.11	7.859	104.25	680.88	39.839	641.041			
-78	2020-04-02	17968	819	17149	1415	99	1316	7735	467	7268	1623.199	73.987	1549.212	127.829	8.943	118.885	698.767	42.188	656.579			
-77	2020-04-03	19236	897	18339	1268	78	1190	7752	496	7256	1737.748	81.033	1656.714	114.549	7.046	107.503	700.303	44.808	655.495			
-76	2020-04-04	20087	940	19147	851	43	808	7596	480	7116	1814.626	84.918	1729.708	76.878	3.885	72.993	686.21	43.362	642.847			
-75	2020-04-05	20583	974	19609	496	34	462	7432	483	6949	1859.434	87.99	1771.444	44.808	3.072	41.736	671.394	43.633	627.761			
-74	2020-04-06	21146	1017	20129	563	43	520	7063	468	6595	1910.294	91.874	1818.42	50.86	3.885	46.976	638.06	42.278	595.781			
-73	2020-04-07	22049	1069	20980	903	52	851	6737	436	6301	1991.87	96.572	1895.298	81.576	4.698	76.878	608.609	39.388	569.222			
-72	2020-04-08	22983	1139	21844	934	70	864	6430	419	6011	2076.246	102.895	1973.35	84.376	6.324	78.052	580.875	37.852	543.024			
-71	2020-04-09	23980	1205	22775	997	66	931	6012	386	5626	2166.313	108.858	2057.455	90.067	5.962	84.105	543.114	34.871	508.243			
-70	2020-04-10	24644	1246	23398	664	41	623	5408	349	5059	2226.297	112.562	2113.736	59.985	3.704	56.281	488.55	31.528	457.022			
-69	2020-04-11	25390	1280	24110	746	34	712	5303	340	4963	2293.69	115.633	2178.057	67.392	3.072	64.321	479.064	30.715	448.349			
-68	2020-04-12	25818	1323	24495	428	43	385	5235	349	4886	2332.355	119.518	2212.837	38.665	3.885	34.78	472.921	31.528	441.393			
-67	2020-04-13	26109	1356	24753	291	33	258	4963	339	4624	2358.643	122.499	2236.144	26.288	2.981	23.307	448.349	30.625	417.724			
-66	2020-04-14	26478	1385	25093	369	29	340	4429	316	4113	2391.978	125.119	2266.859	33.335	2.62	30.715	400.108	28.547	371.561			
-65	2020-04-15	27098	1429	25669	620	44	576	4115	290	3825	2447.988	129.093	2318.894	56.01	3.975	52.035	371.742	26.198	345.544			
-64	2020-04-16	27759	1461	26298	661	32	629	3779	256	3523	2507.701	131.984	2375.717	59.714	2.891	56.823	341.388	23.127	318.262			
-63	2020-04-17	28314	1490	26824	555	29	526	3670	244	3426	2557.839	134.604	2423.235	50.138	2.62	47.518	331.542	22.043	309.499			
-62	2020-04-18	28706	1510	27196	392	20	372	3316	230	3086	2593.252	136.411	2456.841	35.413	1.807	33.606	299.562	20.778	278.784			
-60	2020-04-20	29278	1555	27723	572	45	527	3460	232	3228	2644.925	140.476	2504.449	51.674	4.065	47.608	312.571	20.958	291.612			
-59	2020-04-21	29675	1576	28099	397	21	376	3566	220	3346	2680.79	142.373	2538.416	35.864	1.897	33.967	322.146	19.874	302.272			
-58	2020-04-22	30178	1598	28580	503	22	481	3700	213	3487	2726.23	144.361	2581.869	45.44	1.987	43.453	334.252	19.242	315.01			
-56	2020-04-24	30965	1635	29330	787	37	750	3867	206	3661	2797.326	147.703	2649.623	71.096	3.343	67.754	349.338	18.61	330.729			
-55	2020-04-25	31281	1656	29625	316	21	295	3522	195	3327	2825.873	149.6	2676.273	28.547	1.897	26.65	318.172	17.616	300.556			
-53	2020-04-27	31583	1664	29919	302	8	294	3269	174	3095	2853.155	150.323	2702.832	27.282	0.723	26.559	295.316	15.719	279.597			
-52	2020-04-28	31767	1674	30093	184	10	174	3061	164	2897	2869.777	151.226	2718.551	16.622	0.903	15.719	276.526	14.815	261.71			
-51	2020-04-29	32045	1688	30357	278	14	264	2767	133	2634	2894.891	152.491	2742.4	25.114	1.265	23.849	249.966	12.015	237.951			
-50	2020-04-30	32300	1698	30601	255	10	244	2625	122	2502	2917.928	153.394	2764.443	23.036	0.903	22.043	237.138	11.021	226.026			
-49	2020-05-01	32452	1706	30745	152	8	144	2274	108	2165	2931.659	154.117	2777.452	13.731	0.723	13.009	205.429	9.757	195.582			
-48	2020-05-02	32563	1716	30846	111	10	101	1598	81	1516	2941.687	155.021	2786.576	10.028	0.903	9.124	144.361	7.317	136.953			
-46	2020-05-04	32690	1722	30967	127	6	121	1409	66	1342	2953.16	155.563	2797.507	11.473	0.542	10.931	127.287	5.962	121.234			
-45	2020-05-05	32815	1728	31086	125	6	119	1232	64	1167	2964.452	156.105	2808.257	11.292	0.542	10.75	111.297	5.782	105.425			
-44	2020-05-06	32942	1735	31206	127	7	120	1175	61	1113	2975.925	156.737	2819.098	11.473	0.632	10.841	106.148	5.511	100.547			
-43	2020-05-07	33124	1741	31382	182	6	176	1079	53	1025	2992.366	157.279	2834.997	16.442	0.542	15.9	97.475	4.788	92.597			
-41	2020-05-09	33457	1758	31698	333	17	316	1157	60	1097	3022.449	158.815	2863.544	30.083	1.536	28.547	104.521	5.42	99.101			
-39	2020-05-11	33606	1761	31844	149	3	146	1154	55	1099	3035.909	159.086	2876.733	13.46	0.271	13.189	104.25	4.969	99.282			
-38	2020-05-12	33705	1767	31937	99	6	93	1142	51	1091	3044.853	159.628	2885.135	8.943	0.542	8.401	103.166	4.607	98.559			
-37	2020-05-13	33828	1771	32056	123	4	119	1138	49	1089	3055.965	159.989	2895.885	11.112	0.361	10.75	102.805	4.427	98.378			
-36	2020-05-14	33932	1777	32154	104	6	98	1117	49	1068	3065.36	160.531	2904.738	9.395	0.542	8.853	100.908	4.427	96.481			
-35	2020-05-15	34036	1781	32254	104	4	100	1094	46	1048	3074.755	160.893	2913.772	9.395	0.361	9.034	98.83	4.156	94.675			
-34	2020-05-16	34090	1783	32306	54	2	52	966	42	924	3079.633	161.073	2918.47	4.878	0.181	4.698	87.267	3.794	83.473			
-31	2020-05-19	34264	1801	32462	174	18	156	807	43	764	3095.352	162.699	2932.562	15.719	1.626	14.093	72.903	3.885	69.018			
-30	2020-05-20	34350	1804	32545	86	3	83	744	43	701	3103.121	162.97	2940.061	7.769	0.271	7.498	67.212	3.885	63.327			
-21	2020-05-29	34788	1816	32923	438	12	378	1083	49	986	3142.689	164.054	2974.208	39.568	1.084	34.148	97.836	4.427	89.074			
-14	2020-06-05	34956	1823	33027	168	7	104	1128	52	971	3157.866	164.687	2983.604	15.177	0.632	9.395	101.902	4.698	87.719			
-10	2020-06-09	35040	1824	33071	84	1	44	1108	47	917	3165.455	164.777	2987.578	7.588	0.09	3.975	100.095	4.246	82.84			
-9	2020-06-10	35089	1824	33089	49	0	18	1053	43	835	3169.881	164.777	2989.205	4.427	0.0	1.626	95.126	3.885	75.432			
-7	2020-06-12	35133	1824	33094	44	0	5	1043	41	788	3173.856	164.777	2989.656	3.975	0.0	0.452	94.223	3.704	71.187			
-4	2020-06-15	35180	1824	33098	47	0	4	916	23	636	3178.102	164.777	2990.018	4.246	0.0	0.361	82.75	2.078	57.455			
-3	2020-06-16	35217	1824	33099	37	0	1	867	20	554	3181.445	164.777	2990.108	3.343	0.0	0.09	78.323	1.807	50.047			
0	2020-06-19	35272	1824	33100	55	0	1	484	8	177	3186.413	164.777	2990.198	4.969	0.0	0.09	43.724	0.723	15.99			
