Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	353	4	349	353	4	349	0	0	0	26.995	0.306	26.689	26.995	0.306	26.689	0.0	0.0	0.0			
-100	2020-03-11	470	5	465	117	1	116	0	0	0	35.942	0.382	35.559	8.947	0.076	8.871	0.0	0.0	0.0			
-99	2020-03-12	603	8	595	133	3	130	0	0	0	46.113	0.612	45.501	10.171	0.229	9.941	0.0	0.0	0.0			
-98	2020-03-13	853	11	842	250	3	247	0	0	0	65.231	0.841	64.389	19.118	0.229	18.889	0.0	0.0	0.0			
-97	2020-03-14	1083	16	1067	230	5	225	0	0	0	82.819	1.224	81.596	17.589	0.382	17.206	0.0	0.0	0.0			
-95	2020-03-16	1519	27	1492	436	11	425	0	0	0	116.161	2.065	114.096	33.342	0.841	32.501	0.0	0.0	0.0			
-94	2020-03-17	1984	37	1947	465	10	455	0	0	0	151.72	2.829	148.891	35.559	0.765	34.795	0.0	0.0	0.0			
-93	2020-03-18	2724	49	2675	740	12	728	2371	45	2326	208.309	3.747	204.562	56.589	0.918	55.672	181.315	3.441	177.874			
-92	2020-03-19	3545	60	3485	821	11	810	3075	55	3020	271.093	4.588	266.505	62.783	0.841	61.942	235.151	4.206	230.945			
-91	2020-03-20	4404	86	4318	859	26	833	3801	78	3723	336.782	6.577	330.206	65.689	1.988	63.701	290.67	5.965	284.705			
-90	2020-03-21	5510	126	5384	1106	40	1066	4657	115	4542	421.36	9.635	411.725	84.578	3.059	81.519	356.13	8.794	347.335			
-89	2020-03-22	6068	146	5922	558	20	538	4985	130	4855	464.031	11.165	452.867	42.671	1.529	41.142	381.212	9.941	371.271			
-88	2020-03-23	6789	194	6595	721	48	673	5270	167	5103	519.168	14.836	504.332	55.136	3.671	51.466	403.007	12.771	390.236			
-87	2020-03-24	8008	242	7766	1219	48	1171	6024	205	5819	612.387	18.506	593.881	93.219	3.671	89.549	460.667	15.677	444.99			
-86	2020-03-25	9685	307	9378	1677	65	1612	6961	258	6703	740.63	23.477	717.153	128.243	4.971	123.273	532.321	19.73	512.591			
-85	2020-03-26	11389	399	10990	1704	92	1612	7844	339	7505	870.938	30.512	840.426	130.308	7.035	123.273	599.846	25.924	573.922			
-84	2020-03-27	13030	467	12563	1641	68	1573	8626	381	8245	996.429	35.712	960.716	125.49	5.2	120.29	659.647	29.136	630.511			
-83	2020-03-28	14450	555	13895	1420	88	1332	8940	429	8511	1105.019	42.442	1062.577	108.59	6.73	101.861	683.659	32.806	650.852			
-82	2020-03-29	15312	602	14710	862	47	815	9244	456	8788	1170.938	46.036	1124.902	65.919	3.594	62.325	706.906	34.871	672.035			
-81	2020-03-30	16346	674	15672	1034	72	962	9557	480	9077	1250.01	51.542	1198.468	79.072	5.506	73.566	730.842	36.707	694.135			
-80	2020-03-31	18188	803	17385	1842	129	1713	10180	561	9619	1390.871	61.407	1329.464	140.861	9.865	130.996	778.484	42.901	735.583			
-79	2020-04-01	20176	904	19272	1988	101	1887	10491	597	9894	1542.897	69.131	1473.766	152.026	7.724	144.302	802.267	45.654	756.613			
-78	2020-04-02	22114	1031	21083	1938	127	1811	10725	632	10093	1691.099	78.843	1612.257	148.203	9.712	138.491	820.161	48.33	771.831			
-77	2020-04-03	23971	1124	22847	1857	93	1764	10941	657	10284	1833.108	85.954	1747.153	142.008	7.112	134.896	836.679	50.242	786.437			
-76	2020-04-04	25464	1205	24259	1493	81	1412	11014	650	10364	1947.28	92.149	1855.132	114.173	6.194	107.978	842.261	49.707	792.555			
-75	2020-04-05	26178	1256	24922	714	51	663	10866	654	10212	2001.881	96.049	1905.833	54.601	3.9	50.701	830.944	50.013	780.931			
-74	2020-04-06	27300	1325	25975	1122	69	1053	10954	651	10303	2087.683	101.325	1986.357	85.801	5.277	80.525	837.673	49.783	787.89			
-73	2020-04-07	28829	1418	27411	1529	93	1436	10641	615	10026	2204.608	108.437	2096.171	116.926	7.112	109.814	813.737	47.03	766.707			
-72	2020-04-08	30376	1507	28869	1547	89	1458	10200	603	9597	2322.91	115.243	2207.667	118.302	6.806	111.496	780.013	46.113	733.901			
-71	2020-04-09	31642	1594	30048	1266	87	1179	9528	563	8965	2419.724	121.896	2297.827	96.813	6.653	90.16	728.624	43.054	685.571			
-70	2020-04-10	32581	1651	30930	939	57	882	8610	527	8083	2491.531	126.255	2365.276	71.807	4.359	67.448	658.423	40.301	618.122			
-69	2020-04-11	33346	1721	31625	765	70	695	7882	516	7366	2550.032	131.608	2418.424	58.501	5.353	53.148	602.751	39.459	563.292			
-68	2020-04-12	33763	1764	31999	417	43	374	7585	508	7077	2581.921	134.896	2447.024	31.889	3.288	28.6	580.039	38.848	541.192			
-67	2020-04-13	34227	1809	32418	464	45	419	6927	484	6443	2617.403	138.338	2479.066	35.483	3.441	32.042	529.721	37.012	492.708			
-66	2020-04-14	34980	1875	33105	753	66	687	6151	457	5694	2674.987	143.385	2531.602	57.583	5.047	52.536	470.379	34.948	435.431			
