Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	22	0	22	22	0	22	0	0	0	32.211	0.0	32.211	32.211	0.0	32.211	0.0	0.0	0.0			
-100	2020-03-11	33	0	33	11	0	11	0	0	0	48.316	0.0	48.316	16.105	0.0	16.105	0.0	0.0	0.0			
-99	2020-03-12	40	0	40	7	0	7	0	0	0	58.565	0.0	58.565	10.249	0.0	10.249	0.0	0.0	0.0			
-98	2020-03-13	49	0	49	9	0	9	0	0	0	71.742	0.0	71.742	13.177	0.0	13.177	0.0	0.0	0.0			
-97	2020-03-14	52	0	52	3	0	3	0	0	0	76.135	0.0	76.135	4.392	0.0	4.392	0.0	0.0	0.0			
-95	2020-03-16	56	0	56	4	0	4	0	0	0	81.991	0.0	81.991	5.857	0.0	5.857	0.0	0.0	0.0			
-94	2020-03-17	68	1	67	12	1	11	0	0	0	99.561	1.464	98.097	17.57	1.464	16.105	0.0	0.0	0.0			
-93	2020-03-18	78	1	77	10	0	10	56	1	55	114.202	1.464	112.738	14.641	0.0	14.641	81.991	1.464	80.527			
-92	2020-03-19	118	1	117	40	0	40	85	1	84	172.767	1.464	171.303	58.565	0.0	58.565	124.451	1.464	122.987			
-91	2020-03-20	142	1	141	24	0	24	102	1	101	207.906	1.464	206.442	35.139	0.0	35.139	149.341	1.464	147.877			
-90	2020-03-21	164	1	163	22	0	22	115	1	114	240.117	1.464	238.653	32.211	0.0	32.211	168.375	1.464	166.911			
-89	2020-03-22	168	1	167	4	0	4	116	1	115	245.974	1.464	244.51	5.857	0.0	5.857	169.839	1.464	168.375			
-88	2020-03-23	180	1	179	12	0	12	124	1	123	263.543	1.464	262.079	17.57	0.0	17.57	181.552	1.464	180.088			
-87	2020-03-24	199	2	197	19	1	18	131	1	130	291.362	2.928	288.433	27.818	1.464	26.354	191.801	1.464	190.337			
-86	2020-03-25	210	2	208	11	0	11	132	1	131	307.467	2.928	304.539	16.105	0.0	16.105	193.265	1.464	191.801			
-85	2020-03-26	241	4	237	31	2	29	123	3	120	352.855	5.857	346.999	45.388	2.928	42.46	180.088	4.392	175.695			
-84	2020-03-27	261	5	256	20	1	19	119	4	115	382.138	7.321	374.817	29.283	1.464	27.818	174.231	5.857	168.375			
-83	2020-03-28	286	5	281	25	0	25	122	4	118	418.741	7.321	411.42	36.603	0.0	36.603	178.624	5.857	172.767			
-82	2020-03-29	287	5	282	1	0	1	119	4	115	420.205	7.321	412.884	1.464	0.0	1.464	174.231	5.857	168.375			
-81	2020-03-30	295	7	288	8	2	6	115	6	109	431.918	10.249	421.669	11.713	2.928	8.785	168.375	8.785	159.59			
-80	2020-03-31	312	8	304	17	1	16	113	6	107	456.808	11.713	445.095	24.89	1.464	23.426	165.447	8.785	156.662			
-79	2020-04-01	328	9	319	16	1	15	118	7	111	480.234	13.177	467.057	23.426	1.464	21.962	172.767	10.249	162.518			
-78	2020-04-02	339	10	329	11	1	10	98	6	92	496.34	14.641	481.698	16.105	1.464	14.641	143.485	8.785	134.7			
-77	2020-04-03	372	15	357	33	5	28	111	10	101	544.656	21.962	522.694	48.316	7.321	40.996	162.518	14.641	147.877			
-76	2020-04-04	387	16	371	15	1	14	101	11	90	566.618	23.426	543.192	21.962	1.464	20.498	147.877	16.105	131.772			
-75	2020-04-05	390	16	374	3	0	3	103	11	92	571.01	23.426	547.584	4.392	0.0	4.392	150.805	16.105	134.7			
-74	2020-04-06	395	16	379	5	0	5	100	9	91	578.331	23.426	554.905	7.321	0.0	7.321	146.413	13.177	133.236			
-73	2020-04-07	431	18	413	36	2	34	119	10	109	631.04	26.354	604.685	52.709	2.928	49.78	174.231	14.641	159.59			
-72	2020-04-08	437	18	419	6	0	6	109	9	100	639.824	26.354	613.47	8.785	0.0	8.785	159.59	13.177	146.413			
-71	2020-04-09	455	20	435	18	2	16	116	10	106	666.179	29.283	636.896	26.354	2.928	23.426	169.839	14.641	155.198			
-70	2020-04-10	464	21	443	9	1	8	92	6	86	679.356	30.747	648.609	13.177	1.464	11.713	134.7	8.785	125.915			
-69	2020-04-11	477	23	454	13	2	11	90	7	83	698.389	33.675	664.714	19.034	2.928	16.105	131.772	10.249	121.523			
-68	2020-04-12	481	23	458	4	0	4	91	7	84	704.246	33.675	670.571	5.857	0.0	5.857	133.236	10.249	122.987			
-67	2020-04-13	487	26	461	6	3	3	92	10	82	713.031	38.067	674.963	8.785	4.392	4.392	134.7	14.641	120.059			
-66	2020-04-14	494	26	468	7	0	7	63	8	55	723.28	38.067	685.212	10.249	0.0	10.249	92.24	11.713	80.527			
-65	2020-04-15	509	27	482	15	1	14	72	9	63	745.242	39.531	705.71	21.962	1.464	20.498	105.417	13.177	92.24			
-64	2020-04-16	554	28	526	45	1	44	99	8	91	811.127	40.996	770.132	65.886	1.464	64.422	144.949	11.713	133.236			
-63	2020-04-17	566	29	537	12	1	11	102	8	94	828.697	42.46	786.237	17.57	1.464	16.105	149.341	11.713	137.628			
-62	2020-04-18	583	29	554	17	0	17	106	6	100	853.587	42.46	811.127	24.89	0.0	24.89	155.198	8.785	146.413			
-60	2020-04-20	602	29	573	19	0	19	121	6	115	881.406	42.46	838.946	27.818	0.0	27.818	177.16	8.785	168.375			
-59	2020-04-21	619	33	586	17	4	13	132	7	125	906.296	48.316	857.98	24.89	5.857	19.034	193.265	10.249	183.016			
-58	2020-04-22	727	33	694	108	0	108	233	7	226	1064.422	48.316	1016.105	158.126	0.0	158.126	341.142	10.249	330.893			
-56	2020-04-24	761	33	728	34	0	34	252	6	246	1114.202	48.316	1065.886	49.78	0.0	49.78	368.96	8.785	360.176			
-55	2020-04-25	776	33	743	15	0	15	222	5	217	1136.164	48.316	1087.848	21.962	0.0	21.962	325.037	7.321	317.716			
-53	2020-04-27	797	33	764	21	0	21	231	4	227	1166.911	48.316	1118.594	30.747	0.0	30.747	338.214	5.857	332.357			
-52	2020-04-28	840	35	805	43	2	41	257	6	251	1229.868	51.245	1178.624	62.958	2.928	60.029	376.281	8.785	367.496			
-51	2020-04-29	882	35	847	42	0	42	280	6	274	1291.362	51.245	1240.117	61.493	0.0	61.493	409.956	8.785	401.171			
-50	2020-04-30	904	35	869	22	0	22	285	2	283	1323.572	51.245	1272.328	32.211	0.0	32.211	417.277	2.928	414.348			
-49	2020-05-01	916	35	881	12	0	12	189	2	187	1341.142	51.245	1289.898	17.57	0.0	17.57	276.72	2.928	273.792			
-48	2020-05-02	920	35	885	4	0	4	159	2	157	1346.999	51.245	1295.754	5.857	0.0	5.857	232.796	2.928	229.868			
-46	2020-05-04	954	35	919	34	0	34	178	2	176	1396.779	51.245	1345.534	49.78	0.0	49.78	260.615	2.928	257.687			
-45	2020-05-05	964	36	928	10	1	9	167	3	164	1411.42	52.709	1358.712	14.641	1.464	13.177	244.51	4.392	240.117			
-44	2020-05-06	1018	36	982	54	0	54	178	1	177	1490.483	52.709	1437.775	79.063	0.0	79.063	260.615	1.464	259.151			
-43	2020-05-07	1047	37	1010	29	1	28	165	2	163	1532.943	54.173	1478.77	42.46	1.464	40.996	241.581	2.928	238.653			
-41	2020-05-09	1090	40	1050	43	3	40	186	5	181	1595.9	58.565	1537.335	62.958	4.392	58.565	272.328	7.321	265.007			
-39	2020-05-11	1105	41	1064	15	1	14	189	6	183	1617.862	60.029	1557.833	21.962	1.464	20.498	276.72	8.785	267.936			
