Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	62	0	62	62	0	62	0	0	0	9.895	0.0	9.895	9.895	0.0	9.895	0.0	0.0	0.0			
-100	2020-03-11	99	0	99	37	0	37	0	0	0	15.8	0.0	15.8	5.905	0.0	5.905	0.0	0.0	0.0			
-99	2020-03-12	136	0	136	37	0	37	0	0	0	21.705	0.0	21.705	5.905	0.0	5.905	0.0	0.0	0.0			
-98	2020-03-13	214	0	214	78	0	78	0	0	0	34.154	0.0	34.154	12.449	0.0	12.449	0.0	0.0	0.0			
-97	2020-03-14	296	1	295	82	1	81	0	0	0	47.241	0.16	47.081	13.087	0.16	12.927	0.0	0.0	0.0			
-95	2020-03-16	446	2	444	150	1	149	0	0	0	71.18	0.319	70.861	23.939	0.16	23.78	0.0	0.0	0.0			
-94	2020-03-17	614	3	611	168	1	167	0	0	0	97.992	0.479	97.513	26.812	0.16	26.653	0.0	0.0	0.0			
-93	2020-03-18	838	4	834	224	1	223	776	4	772	133.742	0.638	133.104	35.75	0.16	35.59	123.847	0.638	123.209			
-92	2020-03-19	1041	5	1036	203	1	202	942	5	937	166.14	0.798	165.342	32.398	0.16	32.239	150.34	0.798	149.542			
-91	2020-03-20	1253	9	1244	212	4	208	1117	9	1108	199.974	1.436	198.538	33.834	0.638	33.196	178.269	1.436	176.833			
-90	2020-03-21	1388	12	1376	135	3	132	1174	12	1162	221.52	1.915	219.605	21.546	0.479	21.067	187.366	1.915	185.451			
-89	2020-03-22	1447	13	1434	59	1	58	1151	12	1139	230.936	2.075	228.861	9.416	0.16	9.257	183.696	1.915	181.78			
-88	2020-03-23	1724	17	1707	277	4	273	1278	15	1263	275.144	2.713	272.431	44.208	0.638	43.57	203.964	2.394	201.57			
-87	2020-03-24	1959	26	1933	235	9	226	1345	23	1322	312.65	4.15	308.5	37.505	1.436	36.069	214.657	3.671	210.987			
-86	2020-03-25	2206	31	2175	247	5	242	1368	27	1341	352.07	4.947	347.122	39.42	0.798	38.622	218.328	4.309	214.019			
-85	2020-03-26	2507	43	2464	301	12	289	1466	38	1428	400.109	6.863	393.246	48.039	1.915	46.123	233.969	6.065	227.904			
-84	2020-03-27	2815	57	2758	308	14	294	1562	48	1514	449.264	9.097	440.167	49.156	2.234	46.921	249.29	7.661	241.629			
-83	2020-03-28	3002	64	2938	187	7	180	1614	52	1562	479.109	10.214	468.895	29.845	1.117	28.727	257.589	8.299	249.29			
-82	2020-03-29	3142	75	3067	140	11	129	1695	62	1633	501.452	11.97	489.483	22.344	1.756	20.588	270.516	9.895	260.621			
-81	2020-03-30	3327	86	3241	185	11	174	1603	69	1534	530.978	13.725	517.252	29.525	1.756	27.77	255.833	11.012	244.821			
-80	2020-03-31	3581	98	3483	254	12	242	1622	72	1550	571.515	15.64	555.875	40.538	1.915	38.622	258.866	11.491	247.375			
-79	2020-04-01	3911	122	3789	330	24	306	1705	91	1614	624.182	19.471	604.711	52.667	3.83	48.837	272.112	14.523	257.589			
-78	2020-04-02	4178	145	4033	267	23	244	1671	102	1569	666.794	23.141	643.653	42.612	3.671	38.942	266.686	16.279	250.407			
-77	2020-04-03	4427	156	4271	249	11	238	1612	99	1513	706.534	24.897	681.637	39.74	1.756	37.984	257.27	15.8	241.47			
-76	2020-04-04	4652	174	4478	225	18	207	1650	110	1540	742.443	27.77	714.673	35.909	2.873	33.036	263.334	17.556	245.779			
-75	2020-04-05	4743	179	4564	91	5	86	1601	104	1497	756.966	28.568	728.399	14.523	0.798	13.725	255.514	16.598	238.916			
-74	2020-04-06	4882	200	4682	139	21	118	1555	114	1441	779.15	31.919	747.231	22.184	3.352	18.832	248.173	18.194	229.979			
-73	2020-04-07	5137	218	4919	255	18	237	1556	120	1436	819.847	34.792	785.055	40.697	2.873	37.824	248.332	19.152	229.181			
-72	2020-04-08	5440	237	5203	303	19	284	1529	115	1414	868.205	37.824	830.381	48.358	3.032	45.325	244.023	18.354	225.67			
-71	2020-04-09	5732	269	5463	292	32	260	1554	124	1430	914.807	42.931	871.876	46.602	5.107	41.495	248.013	19.79	228.223			
-70	2020-04-10	5887	283	5604	155	14	141	1460	127	1333	939.545	45.166	894.379	24.737	2.234	22.503	233.011	20.269	212.742			
-69	2020-04-11	6038	298	5740	151	15	136	1386	124	1262	963.644	47.56	916.084	24.099	2.394	21.705	221.201	19.79	201.411			
-68	2020-04-12	6137	310	5827	99	12	87	1394	131	1263	979.444	49.475	929.969	15.8	1.915	13.885	222.478	20.907	201.57			
-67	2020-04-13	6214	321	5893	77	11	66	1332	121	1211	991.733	51.23	940.502	12.289	1.756	10.533	212.583	19.311	193.271			
-66	2020-04-14	6375	336	6039	161	15	146	1238	118	1120	1017.428	53.624	963.804	25.695	2.394	23.301	197.581	18.832	178.748			
-65	2020-04-15	6602	349	6253	227	13	214	1162	112	1050	1053.656	55.699	997.957	36.228	2.075	34.154	185.451	17.875	167.576			
-64	2020-04-16	6810	364	6446	208	15	193	1078	95	983	1086.852	58.093	1028.759	33.196	2.394	30.802	172.045	15.162	156.883			
-63	2020-04-17	7000	373	6627	190	9	181	1113	90	1023	1117.176	59.53	1057.646	30.323	1.436	28.887	177.631	14.364	163.267			
-62	2020-04-18	7128	385	6743	128	12	116	1090	87	1003	1137.604	61.445	1076.159	20.428	1.915	18.513	173.96	13.885	160.075			
-60	2020-04-20	7280	401	6879	152	16	136	1143	91	1052	1161.863	63.998	1097.865	24.259	2.554	21.705	182.419	14.523	167.896			
-59	2020-04-21	7449	410	7039	169	9	160	1235	89	1146	1188.835	65.435	1123.4	26.972	1.436	25.535	197.102	14.204	182.898			
-58	2020-04-22	7625	422	7203	176	12	164	1250	86	1164	1216.924	67.35	1149.574	28.089	1.915	26.174	199.496	13.725	185.77			
-56	2020-04-24	7851	435	7416	226	13	213	1249	86	1163	1252.992	69.424	1183.568	36.069	2.075	33.994	199.336	13.725	185.611			
-55	2020-04-25	7940	439	7501	89	4	85	1130	75	1055	1267.197	70.063	1197.134	14.204	0.638	13.566	180.344	11.97	168.374			
-53	2020-04-27	8032	444	7588	92	5	87	1032	71	961	1281.879	70.861	1211.019	14.683	0.798	13.885	164.704	11.331	153.372			
-52	2020-04-28	8170	447	7723	138	3	135	1042	62	980	1303.904	71.34	1232.564	22.024	0.479	21.546	166.3	9.895	156.405			
