Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	77	1	76	77	1	76	0	0	0	41.821	0.543	41.277	41.821	0.543	41.277	0.0	0.0	0.0			
-100	2020-03-11	106	1	105	29	0	29	0	0	0	57.571	0.543	57.028	15.751	0.0	15.751	0.0	0.0	0.0			
-99	2020-03-12	148	2	146	42	1	41	0	0	0	80.382	1.086	79.296	22.811	0.543	22.268	0.0	0.0	0.0			
-98	2020-03-13	186	3	183	38	1	37	0	0	0	101.021	1.629	99.392	20.639	0.543	20.096	0.0	0.0	0.0			
-97	2020-03-14	263	4	259	77	1	76	0	0	0	142.842	2.172	140.669	41.821	0.543	41.277	0.0	0.0	0.0			
-95	2020-03-16	423	4	419	160	0	160	0	0	0	229.741	2.172	227.569	86.9	0.0	86.9	0.0	0.0	0.0			
-94	2020-03-17	556	5	551	133	1	132	0	0	0	301.977	2.716	299.261	72.235	0.543	71.692	0.0	0.0	0.0			
-93	2020-03-18	690	5	685	134	0	134	613	4	609	374.756	2.716	372.04	72.779	0.0	72.779	332.935	2.172	330.763			
-92	2020-03-19	880	7	873	190	2	188	774	6	768	477.949	3.802	474.147	103.194	1.086	102.107	420.378	3.259	417.119			
-91	2020-03-20	1026	9	1017	146	2	144	878	7	871	557.245	4.888	552.357	79.296	1.086	78.21	476.863	3.802	473.061			
-90	2020-03-21	1133	10	1123	107	1	106	947	7	940	615.36	5.431	609.928	58.114	0.543	57.571	514.338	3.802	510.537			
-89	2020-03-22	1283	12	1271	150	2	148	1020	8	1012	696.828	6.517	690.311	81.469	1.086	80.382	553.987	4.345	549.642			
