Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	12	0	12	12	0	12	0	0	0	7.455	0.0	7.455	7.455	0.0	7.455	0.0	0.0	0.0			
-100	2020-03-11	20	0	20	8	0	8	0	0	0	12.425	0.0	12.425	4.97	0.0	4.97	0.0	0.0	0.0			
-99	2020-03-12	29	0	29	9	0	9	0	0	0	18.016	0.0	18.016	5.591	0.0	5.591	0.0	0.0	0.0			
-98	2020-03-13	38	0	38	9	0	9	0	0	0	23.607	0.0	23.607	5.591	0.0	5.591	0.0	0.0	0.0			
-97	2020-03-14	39	0	39	1	0	1	0	0	0	24.228	0.0	24.228	0.621	0.0	0.621	0.0	0.0	0.0			
-95	2020-03-16	54	0	54	15	0	15	0	0	0	33.547	0.0	33.547	9.319	0.0	9.319	0.0	0.0	0.0			
-94	2020-03-17	85	0	85	31	0	31	0	0	0	52.805	0.0	52.805	19.258	0.0	19.258	0.0	0.0	0.0			
-93	2020-03-18	128	0	128	43	0	43	116	0	116	79.518	0.0	79.518	26.713	0.0	26.713	72.063	0.0	72.063			
-92	2020-03-19	162	0	162	34	0	34	142	0	142	100.64	0.0	100.64	21.122	0.0	21.122	88.215	0.0	88.215			
-91	2020-03-20	178	0	178	16	0	16	149	0	149	110.58	0.0	110.58	9.94	0.0	9.94	92.564	0.0	92.564			
-90	2020-03-21	189	0	189	11	0	11	151	0	151	117.413	0.0	117.413	6.834	0.0	6.834	93.806	0.0	93.806			
-89	2020-03-22	190	0	190	1	0	1	151	0	151	118.034	0.0	118.034	0.621	0.0	0.621	93.806	0.0	93.806			
-88	2020-03-23	203	0	203	13	0	13	149	0	149	126.11	0.0	126.11	8.076	0.0	8.076	92.564	0.0	92.564			
-87	2020-03-24	240	1	239	37	1	36	155	1	154	149.096	0.621	148.475	22.986	0.621	22.364	96.291	0.621	95.67			
-86	2020-03-25	264	2	262	24	1	23	136	2	134	164.006	1.242	162.763	14.91	0.621	14.288	84.488	1.242	83.245			
-85	2020-03-26	288	2	286	24	0	24	126	2	124	178.915	1.242	177.673	14.91	0.0	14.91	78.275	1.242	77.033			
-84	2020-03-27	330	3	327	42	1	41	152	3	149	205.007	1.864	203.143	26.092	0.621	25.471	94.428	1.864	92.564			
-83	2020-03-28	351	5	346	21	2	19	162	5	157	218.053	3.106	214.947	13.046	1.242	11.803	100.64	3.106	97.534			
-82	2020-03-29	362	5	357	11	0	11	172	5	167	224.887	3.106	221.78	6.834	0.0	6.834	106.852	3.106	103.746			
-81	2020-03-30	375	5	370	13	0	13	172	5	167	232.963	3.106	229.856	8.076	0.0	8.076	106.852	3.106	103.746			
-80	2020-03-31	425	7	418	50	2	48	185	6	179	264.024	4.349	259.676	31.062	1.242	29.819	114.928	3.727	111.201			
-79	2020-04-01	448	10	438	23	3	20	184	8	176	278.313	6.212	272.1	14.288	1.864	12.425	114.307	4.97	109.337			
-78	2020-04-02	477	13	464	29	3	26	189	11	178	296.329	8.076	288.252	18.016	1.864	16.152	117.413	6.834	110.58			
-77	2020-04-03	508	13	495	31	0	31	178	10	168	315.587	8.076	307.511	19.258	0.0	19.258	110.58	6.212	104.367			
-76	2020-04-04	523	13	510	15	0	15	172	8	164	324.905	8.076	316.829	9.319	0.0	9.319	106.852	4.97	101.882			
-75	2020-04-05	525	13	512	2	0	2	163	8	155	326.148	8.076	318.072	1.242	0.0	1.242	101.261	4.97	96.291			
-74	2020-04-06	530	13	517	5	0	5	155	8	147	329.254	8.076	321.178	3.106	0.0	3.106	96.291	4.97	91.321			
-73	2020-04-07	565	16	549	35	3	32	140	9	131	350.997	9.94	341.057	21.743	1.864	19.879	86.973	5.591	81.382			
