Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	88	1	87	88	1	87	0	0	0	11.024	0.125	10.899	11.024	0.125	10.899	0.0	0.0	0.0			
-100	2020-03-11	150	1	149	62	0	62	0	0	0	18.791	0.125	18.666	7.767	0.0	7.767	0.0	0.0	0.0			
-99	2020-03-12	219	2	217	69	1	68	0	0	0	27.435	0.251	27.185	8.644	0.125	8.519	0.0	0.0	0.0			
-98	2020-03-13	308	2	306	89	0	89	0	0	0	38.585	0.251	38.334	11.15	0.0	11.15	0.0	0.0	0.0			
-97	2020-03-14	385	2	383	77	0	77	0	0	0	48.231	0.251	47.981	9.646	0.0	9.646	0.0	0.0	0.0			
-95	2020-03-16	609	3	606	224	1	223	0	0	0	76.293	0.376	75.917	28.062	0.125	27.936	0.0	0.0	0.0			
-94	2020-03-17	785	4	781	176	1	175	0	0	0	98.341	0.501	97.84	22.049	0.125	21.923	0.0	0.0	0.0			
-93	2020-03-18	1062	9	1053	277	5	272	974	8	966	133.043	1.127	131.915	34.701	0.626	34.075	122.018	1.002	121.016			
-92	2020-03-19	1333	11	1322	271	2	269	1183	10	1173	166.992	1.378	165.614	33.95	0.251	33.699	148.201	1.253	146.948			
-91	2020-03-20	1600	18	1582	267	7	260	1381	16	1365	200.441	2.255	198.186	33.449	0.877	32.572	173.006	2.004	171.001			
-90	2020-03-21	1780	22	1758	180	4	176	1472	20	1452	222.991	2.756	220.235	22.55	0.501	22.049	184.406	2.506	181.9			
-89	2020-03-22	1889	22	1867	109	0	109	1504	20	1484	236.646	2.756	233.89	13.655	0.0	13.655	188.415	2.506	185.909			
-88	2020-03-23	2132	26	2106	243	4	239	1523	23	1500	267.088	3.257	263.83	30.442	0.501	29.941	190.795	2.881	187.913			
-87	2020-03-24	2427	30	2397	295	4	291	1642	26	1616	304.044	3.758	300.286	36.956	0.501	36.455	205.703	3.257	202.445			
-86	2020-03-25	2805	48	2757	378	18	360	1743	39	1704	351.398	6.013	345.385	47.354	2.255	45.099	218.355	4.886	213.47			
-85	2020-03-26	3179	59	3120	374	11	363	1846	48	1798	398.251	7.391	390.86	46.853	1.378	45.475	231.259	6.013	225.246			
-84	2020-03-27	3589	95	3494	410	36	374	1989	77	1912	449.614	11.901	437.713	51.363	4.51	46.853	249.173	9.646	239.527			
-83	2020-03-28	3938	124	3814	349	29	320	2158	102	2056	493.335	15.534	477.801	43.721	3.633	40.088	270.345	12.778	257.567			
-82	2020-03-29	4115	139	3976	177	15	162	2226	117	2109	515.509	17.413	498.096	22.174	1.879	20.295	278.863	14.657	264.206			
-81	2020-03-30	4428	159	4269	313	20	293	2296	133	2163	554.72	19.919	534.802	39.211	2.506	36.706	287.633	16.662	270.971			
-80	2020-03-31	4789	174	4615	361	15	346	2362	144	2218	599.945	21.798	578.147	45.224	1.879	43.345	295.901	18.04	277.861			
-79	2020-04-01	5157	195	4962	368	21	347	2352	147	2205	646.046	24.429	621.618	46.101	2.631	43.471	294.648	18.416	276.233			
-78	2020-04-02	5491	217	5274	334	22	312	2312	158	2154	687.888	27.185	660.704	41.842	2.756	39.086	289.637	19.794	269.844			
-77	2020-04-03	5881	248	5633	390	31	359	2292	153	2139	736.746	31.068	705.677	48.857	3.884	44.974	287.132	19.167	267.965			
-76	2020-04-04	6106	268	5838	225	20	205	2168	144	2024	764.933	33.574	731.359	28.187	2.506	25.681	271.598	18.04	253.558			
-75	2020-04-05	6251	276	5975	145	8	137	2136	137	1999	783.098	34.576	748.522	18.165	1.002	17.163	267.589	17.163	250.426			
-74	2020-04-06	6480	301	6179	229	25	204	2052	142	1910	811.786	37.708	774.078	28.688	3.132	25.556	257.066	17.789	239.276			
-73	2020-04-07	6854	320	6534	374	19	355	2065	146	1919	858.639	40.088	818.551	46.853	2.38	44.473	258.694	18.29	240.404			
-72	2020-04-08	7187	345	6842	333	25	308	2030	150	1880	900.356	43.22	857.136	41.717	3.132	38.585	254.309	18.791	235.518			
-71	2020-04-09	7500	363	7137	313	18	295	2009	146	1863	939.567	45.475	894.092	39.211	2.255	36.956	251.679	18.29	233.388			
-70	2020-04-10	7761	379	7382	261	16	245	1880	131	1749	972.264	47.479	924.785	32.697	2.004	30.693	235.518	16.411	219.107			
-69	2020-04-11	7889	388	7501	128	9	119	1783	120	1663	988.299	48.607	939.692	16.035	1.127	14.908	223.366	15.033	208.333			
-68	2020-04-12	8039	400	7639	150	12	138	1788	124	1664	1007.091	50.11	956.98	18.791	1.503	17.288	223.993	15.534	208.459			
-67	2020-04-13	8118	410	7708	79	10	69	1638	109	1529	1016.987	51.363	965.624	9.897	1.253	8.644	205.201	13.655	191.546			
-66	2020-04-14	8286	429	7857	168	19	149	1432	109	1323	1038.034	53.743	984.29	21.046	2.38	18.666	179.395	13.655	165.74			
-65	2020-04-15	8512	448	8064	226	19	207	1325	103	1222	1066.346	56.123	1010.222	28.312	2.38	25.932	165.99	12.903	153.087			
-64	2020-04-16	8755	459	8296	243	11	232	1255	96	1159	1096.788	57.502	1039.286	30.442	1.378	29.064	157.221	12.026	145.194			
