Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	38	0	38	38	0	38	0	0	0	9.303	0.0	9.303	9.303	0.0	9.303	0.0	0.0	0.0			
-100	2020-03-11	67	0	67	29	0	29	0	0	0	16.402	0.0	16.402	7.099	0.0	7.099	0.0	0.0	0.0			
-99	2020-03-12	131	0	131	64	0	64	0	0	0	32.07	0.0	32.07	15.668	0.0	15.668	0.0	0.0	0.0			
-98	2020-03-13	189	0	189	58	0	58	0	0	0	46.269	0.0	46.269	14.199	0.0	14.199	0.0	0.0	0.0			
-97	2020-03-14	240	0	240	51	0	51	0	0	0	58.754	0.0	58.754	12.485	0.0	12.485	0.0	0.0	0.0			
-95	2020-03-16	460	2	458	220	2	218	0	0	0	112.613	0.49	112.123	53.858	0.49	53.369	0.0	0.0	0.0			
-94	2020-03-17	628	3	625	168	1	167	0	0	0	153.741	0.734	153.006	41.128	0.245	40.883	0.0	0.0	0.0			
-93	2020-03-18	786	4	782	158	1	157	748	4	744	192.421	0.979	191.441	38.68	0.245	38.435	183.118	0.979	182.139			
-92	2020-03-19	921	8	913	135	4	131	854	8	846	225.47	1.958	223.512	33.049	0.979	32.07	209.068	1.958	207.109			
-91	2020-03-20	1102	9	1093	181	1	180	971	9	962	269.781	2.203	267.577	44.311	0.245	44.066	237.711	2.203	235.507			
-90	2020-03-21	1217	11	1206	115	2	113	1028	11	1017	297.934	2.693	295.241	28.153	0.49	27.664	251.665	2.693	248.972			
-89	2020-03-22	1359	15	1344	142	4	138	1119	15	1104	332.697	3.672	329.025	34.763	0.979	33.784	273.942	3.672	270.27			
-88	2020-03-23	1555	15	1540	196	0	196	1095	13	1082	380.68	3.672	377.007	47.983	0.0	47.983	268.067	3.183	264.884			
-87	2020-03-24	1760	19	1741	205	4	201	1132	16	1116	430.866	4.651	426.214	50.186	0.979	49.207	277.125	3.917	273.208			
-86	2020-03-25	1931	24	1907	171	5	166	1145	20	1125	472.728	5.875	466.853	41.863	1.224	40.638	280.307	4.896	275.411			
-85	2020-03-26	2147	30	2117	216	6	210	1226	22	1204	525.607	7.344	518.263	52.879	1.469	51.41	300.137	5.386	294.751			
-84	2020-03-27	2418	36	2382	271	6	265	1316	27	1289	591.951	8.813	583.137	66.344	1.469	64.875	322.17	6.61	315.56			
-83	2020-03-28	2584	43	2541	166	7	159	1367	32	1335	632.589	10.527	622.062	40.638	1.714	38.925	334.655	7.834	326.821			
-82	2020-03-29	2726	46	2680	142	3	139	1367	31	1336	667.352	11.261	656.091	34.763	0.734	34.029	334.655	7.589	327.066			
-81	2020-03-30	2869	54	2815	143	8	135	1314	39	1275	702.36	13.22	689.14	35.008	1.958	33.049	321.68	9.548	312.133			
-80	2020-03-31	3069	65	3004	200	11	189	1309	46	1263	751.322	15.913	735.409	48.962	2.693	46.269	320.456	11.261	309.195			
-79	2020-04-01	3321	74	3247	252	9	243	1390	50	1340	813.014	18.116	794.898	61.692	2.203	59.489	340.286	12.241	328.045			
-78	2020-04-02	3510	76	3434	189	2	187	1363	46	1317	859.283	18.606	840.678	46.269	0.49	45.779	333.676	11.261	322.415			
-77	2020-04-03	3724	90	3634	214	14	200	1306	54	1252	911.673	22.033	889.64	52.389	3.427	48.962	319.722	13.22	306.502			
