Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	19	0	19	19	0	19	0	0	0	6.559	0.0	6.559	6.559	0.0	6.559	0.0	0.0	0.0			
-100	2020-03-11	38	0	38	19	0	19	0	0	0	13.118	0.0	13.118	6.559	0.0	6.559	0.0	0.0	0.0			
-99	2020-03-12	56	1	55	18	1	17	0	0	0	19.332	0.345	18.987	6.214	0.345	5.869	0.0	0.0	0.0			
-98	2020-03-13	83	1	82	27	0	27	0	0	0	28.653	0.345	28.308	9.321	0.0	9.321	0.0	0.0	0.0			
-97	2020-03-14	107	1	106	24	0	24	0	0	0	36.939	0.345	36.593	8.285	0.0	8.285	0.0	0.0	0.0			
-95	2020-03-16	157	1	156	50	0	50	0	0	0	54.2	0.345	53.854	17.261	0.0	17.261	0.0	0.0	0.0			
-94	2020-03-17	203	3	200	46	2	44	0	0	0	70.08	1.036	69.044	15.88	0.69	15.19	0.0	0.0	0.0			
-93	2020-03-18	256	7	249	53	4	49	237	7	230	88.376	2.417	85.96	18.297	1.381	16.916	81.817	2.417	79.401			
-92	2020-03-19	316	7	309	60	0	60	278	7	271	109.09	2.417	106.673	20.713	0.0	20.713	95.971	2.417	93.555			
-91	2020-03-20	394	8	386	78	1	77	338	7	331	136.017	2.762	133.255	26.927	0.345	26.582	116.685	2.417	114.268			
-90	2020-03-21	439	11	428	45	3	42	356	10	346	151.552	3.797	147.754	15.535	1.036	14.499	122.898	3.452	119.446			
-89	2020-03-22	473	14	459	34	3	31	366	13	353	163.289	4.833	158.456	11.737	1.036	10.702	126.351	4.488	121.863			
-88	2020-03-23	567	17	550	94	3	91	410	16	394	195.74	5.869	189.871	32.451	1.036	31.415	141.54	5.524	136.017			
-87	2020-03-24	667	21	646	100	4	96	464	18	446	230.262	7.25	223.012	34.522	1.381	33.141	160.182	6.214	153.968			
-86	2020-03-25	754	25	729	87	4	83	498	18	480	260.296	8.631	251.666	30.034	1.381	28.653	171.92	6.214	165.706			
-85	2020-03-26	850	29	821	96	4	92	534	22	512	293.437	10.011	283.426	33.141	1.381	31.76	184.348	7.595	176.753			
-84	2020-03-27	967	31	936	117	2	115	573	23	550	333.828	10.702	323.126	40.391	0.69	39.7	197.811	7.94	189.871			
-83	2020-03-28	1049	32	1017	82	1	81	610	21	589	362.136	11.047	351.089	28.308	0.345	27.963	210.584	7.25	203.335			
-82	2020-03-29	1092	34	1058	43	2	41	619	20	599	376.981	11.737	365.243	14.844	0.69	14.154	213.691	6.904	206.787			
-81	2020-03-30	1170	39	1131	78	5	73	603	22	581	403.908	13.464	390.444	26.927	1.726	25.201	208.168	7.595	200.573			
-80	2020-03-31	1274	44	1230	104	5	99	607	23	584	439.811	15.19	424.621	35.903	1.726	34.177	209.549	7.94	201.609			
-79	2020-04-01	1377	51	1326	103	7	96	623	26	597	475.369	17.606	457.762	35.558	2.417	33.141	215.072	8.976	206.097			
-78	2020-04-02	1489	55	1434	112	4	108	639	26	613	514.033	18.987	495.046	38.665	1.381	37.284	220.596	8.976	211.62			
-77	2020-04-03	1601	62	1539	112	7	105	634	31	603	552.698	21.404	531.294	38.665	2.417	36.248	218.87	10.702	208.168			
-76	2020-04-04	1670	65	1605	69	3	66	621	33	588	576.518	22.439	554.079	23.82	1.036	22.785	214.382	11.392	202.99			
-75	2020-04-05	1706	66	1640	36	1	35	614	32	582	588.946	22.785	566.161	12.428	0.345	12.083	211.965	11.047	200.918			
-74	2020-04-06	1767	71	1696	61	5	56	597	32	565	610.004	24.511	585.494	21.058	1.726	19.332	206.097	11.047	195.05			
-73	2020-04-07	1879	82	1797	112	11	101	605	38	567	648.669	28.308	620.361	38.665	3.797	34.867	208.858	13.118	195.74			
