Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	8	0	8	8	0	8	0	0	0	8.077	0.0	8.077	8.077	0.0	8.077	0.0	0.0	0.0			
-100	2020-03-11	18	0	18	10	0	10	0	0	0	18.173	0.0	18.173	10.096	0.0	10.096	0.0	0.0	0.0			
-99	2020-03-12	31	0	31	13	0	13	0	0	0	31.297	0.0	31.297	13.125	0.0	13.125	0.0	0.0	0.0			
-98	2020-03-13	48	0	48	17	0	17	0	0	0	48.46	0.0	48.46	17.163	0.0	17.163	0.0	0.0	0.0			
-97	2020-03-14	59	0	59	11	0	11	0	0	0	59.566	0.0	59.566	11.106	0.0	11.106	0.0	0.0	0.0			
-95	2020-03-16	102	2	100	43	2	41	0	0	0	102.978	2.019	100.959	43.412	2.019	41.393	0.0	0.0	0.0			
-94	2020-03-17	123	2	121	21	0	21	0	0	0	124.18	2.019	122.161	21.201	0.0	21.201	0.0	0.0	0.0			
-93	2020-03-18	164	3	161	41	1	40	156	3	153	165.573	3.029	162.544	41.393	1.01	40.384	157.496	3.029	154.467			
-92	2020-03-19	209	3	206	45	0	45	191	3	188	211.005	3.029	207.976	45.432	0.0	45.432	192.832	3.029	189.803			
-91	2020-03-20	246	3	243	37	0	37	215	3	212	248.359	3.029	245.331	37.355	0.0	37.355	217.062	3.029	214.033			
-90	2020-03-21	284	4	280	38	1	37	236	4	232	286.724	4.038	282.686	38.364	1.01	37.355	238.264	4.038	234.225			
-89	2020-03-22	331	5	326	47	1	46	272	5	267	334.175	5.048	329.127	47.451	1.01	46.441	274.609	5.048	269.561			
-88	2020-03-23	388	8	380	57	3	54	286	6	280	391.721	8.077	383.645	57.547	3.029	54.518	288.743	6.058	282.686			
-87	2020-03-24	420	12	408	32	4	28	297	10	287	424.028	12.115	411.913	32.307	4.038	28.269	299.849	10.096	289.753			
-86	2020-03-25	469	15	454	49	3	46	305	12	293	473.498	15.144	458.354	49.47	3.029	46.441	307.925	12.115	295.81			
-85	2020-03-26	541	17	524	72	2	70	332	14	318	546.189	17.163	529.026	72.691	2.019	70.671	335.184	14.134	321.05			
-84	2020-03-27	604	20	584	63	3	60	358	17	341	609.793	20.192	589.601	63.604	3.029	60.575	361.434	17.163	344.271			
-83	2020-03-28	673	22	651	69	2	67	389	18	371	679.455	22.211	657.244	69.662	2.019	67.643	392.731	18.173	374.558			
-82	2020-03-29	750	27	723	77	5	72	419	22	397	757.193	27.259	729.934	77.739	5.048	72.691	423.019	22.211	400.808			
-81	2020-03-30	820	31	789	70	4	66	432	23	409	827.865	31.297	796.567	70.671	4.038	66.633	436.143	23.221	412.923			
-80	2020-03-31	950	44	906	130	13	117	530	32	498	959.112	44.422	914.69	131.247	13.125	118.122	535.083	32.307	502.776			
-79	2020-04-01	1073	48	1025	123	4	119	604	33	571	1083.291	48.46	1034.831	124.18	4.038	120.141	609.793	33.317	576.477			
-78	2020-04-02	1250	64	1186	177	16	161	709	47	662	1261.989	64.614	1197.375	178.698	16.153	162.544	715.8	47.451	668.349			
