Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	36	0	36	36	0	36	0	0	0	8.828	0.0	8.828	8.828	0.0	8.828	0.0	0.0	0.0			
-100	2020-03-11	52	0	52	16	0	16	0	0	0	12.752	0.0	12.752	3.924	0.0	3.924	0.0	0.0	0.0			
-99	2020-03-12	80	0	80	28	0	28	0	0	0	19.618	0.0	19.618	6.866	0.0	6.866	0.0	0.0	0.0			
-98	2020-03-13	116	1	115	36	1	35	0	0	0	28.446	0.245	28.201	8.828	0.245	8.583	0.0	0.0	0.0			
-97	2020-03-14	150	2	148	34	1	33	0	0	0	36.784	0.49	36.293	8.338	0.245	8.092	0.0	0.0	0.0			
-95	2020-03-16	223	2	221	73	0	73	0	0	0	54.685	0.49	54.195	17.901	0.0	17.901	0.0	0.0	0.0			
-94	2020-03-17	309	2	307	86	0	86	0	0	0	75.774	0.49	75.284	21.089	0.0	21.089	0.0	0.0	0.0			
-93	2020-03-18	440	2	438	131	0	131	404	2	402	107.899	0.49	107.408	32.124	0.0	32.124	99.071	0.49	98.58			
-92	2020-03-19	595	3	592	155	1	154	543	3	540	145.908	0.736	145.173	38.01	0.245	37.765	133.157	0.736	132.421			
-91	2020-03-20	738	5	733	143	2	141	658	5	653	180.976	1.226	179.749	35.067	0.49	34.577	161.358	1.226	160.131			
-90	2020-03-21	867	6	861	129	1	128	751	5	746	212.609	1.471	211.138	31.634	0.245	31.389	184.163	1.226	182.937			
-89	2020-03-22	919	7	912	52	1	51	769	5	764	225.361	1.717	223.645	12.752	0.245	12.506	188.577	1.226	187.351			
-88	2020-03-23	1042	10	1032	123	3	120	819	8	811	255.524	2.452	253.071	30.163	0.736	29.427	200.839	1.962	198.877			
-87	2020-03-24	1202	17	1185	160	7	153	893	15	878	294.76	4.169	290.591	39.236	1.717	37.519	218.985	3.678	215.307			
-86	2020-03-25	1382	24	1358	180	7	173	942	22	920	338.9	5.885	333.015	44.14	1.717	42.424	231.001	5.395	225.606			
-85	2020-03-26	1551	28	1523	169	4	165	956	25	931	380.343	6.866	373.477	41.443	0.981	40.462	234.434	6.131	228.304			
-84	2020-03-27	1738	35	1703	187	7	180	1000	30	970	426.2	8.583	417.617	45.857	1.717	44.14	245.224	7.357	237.868			
-83	2020-03-28	1901	38	1863	163	3	160	1034	32	1002	466.171	9.319	456.853	39.972	0.736	39.236	253.562	7.847	245.715			
-82	2020-03-29	1972	39	1933	71	1	70	1053	32	1021	483.582	9.564	474.018	17.411	0.245	17.166	258.221	7.847	250.374			
-81	2020-03-30	2110	50	2060	138	11	127	1068	40	1028	517.423	12.261	505.162	33.841	2.697	31.143	261.9	9.809	252.091			
-80	2020-03-31	2290	67	2223	180	17	163	1088	50	1038	561.564	16.43	545.134	44.14	4.169	39.972	266.804	12.261	254.543			
-79	2020-04-01	2475	71	2404	185	4	181	1093	47	1046	606.93	17.411	589.519	45.366	0.981	44.386	268.03	11.526	256.505			
-78	2020-04-02	2698	89	2609	223	18	205	1147	61	1086	661.615	21.825	639.79	54.685	4.414	50.271	281.272	14.959	266.314			
-77	2020-04-03	2948	106	2842	250	17	233	1210	71	1139	722.921	25.994	696.927	61.306	4.169	57.137	296.721	17.411	279.31			
-76	2020-04-04	3087	114	2973	139	8	131	1186	76	1110	757.007	27.956	729.052	34.086	1.962	32.124	290.836	18.637	272.199			
-75	2020-04-05	3155	117	3038	68	3	65	1183	78	1105	773.683	28.691	744.991	16.675	0.736	15.94	290.1	19.127	270.973			
-74	2020-04-06	3235	122	3113	80	5	75	1125	72	1053	793.3	29.917	763.383	19.618	1.226	18.392	275.877	17.656	258.221			
-73	2020-04-07	3377	128	3249	142	6	136	1087	61	1026	828.122	31.389	796.734	34.822	1.471	33.35	266.559	14.959	251.6			
-72	2020-04-08	3537	135	3402	160	7	153	1062	64	998	867.358	33.105	834.253	39.236	1.717	37.519	260.428	15.694	244.734			
-71	2020-04-09	3638	141	3497	101	6	95	940	52	888	892.126	34.577	857.549	24.768	1.471	23.296	230.511	12.752	217.759			
-70	2020-04-10	3768	148	3620	130	7	123	820	42	778	924.005	36.293	887.712	31.879	1.717	30.163	201.084	10.299	190.784			
-69	2020-04-11	3848	155	3693	80	7	73	761	41	720	943.623	38.01	905.613	19.618	1.717	17.901	186.616	10.054	176.561			
-68	2020-04-12	3936	157	3779	88	2	86	781	40	741	965.203	38.5	926.702	21.58	0.49	21.089	191.52	9.809	181.711			
-67	2020-04-13	3976	163	3813	40	6	34	741	41	700	975.012	39.972	935.04	9.809	1.471	8.338	181.711	10.054	171.657			
-66	2020-04-14	4048	167	3881	72	4	68	671	39	632	992.668	40.952	951.715	17.656	0.981	16.675	164.545	9.564	154.982			
-65	2020-04-15	4105	169	3936	57	2	55	568	34	534	1006.646	41.443	965.203	13.978	0.49	13.487	139.287	8.338	130.95			
-64	2020-04-16	4207	174	4033	102	5	97	569	33	536	1031.658	42.669	988.989	25.013	1.226	23.787	139.533	8.092	131.44			
-63	2020-04-17	4251	179	4072	44	5	39	483	31	452	1042.448	43.895	998.553	10.79	1.226	9.564	118.443	7.602	110.841			
-62	2020-04-18	4297	179	4118	46	0	46	449	24	425	1053.729	43.895	1009.833	11.28	0.0	11.28	110.106	5.885	104.22			
-60	2020-04-20	4353	183	4170	56	4	52	417	26	391	1067.461	44.876	1022.585	13.733	0.981	12.752	102.259	6.376	95.883			
-59	2020-04-21	4402	188	4214	49	5	44	426	25	401	1079.477	46.102	1033.375	12.016	1.226	10.79	104.466	6.131	98.335			
-58	2020-04-22	4453	188	4265	51	0	51	405	21	384	1091.984	46.102	1045.881	12.506	0.0	12.506	99.316	5.15	94.166			
-56	2020-04-24	4532	194	4338	79	6	73	427	25	402	1111.356	47.574	1063.783	19.373	1.471	17.901	104.711	6.131	98.58			
-55	2020-04-25	4554	194	4360	22	0	22	347	20	327	1116.751	47.574	1069.178	5.395	0.0	5.395	85.093	4.904	80.188			
-53	2020-04-27	4595	196	4399	41	2	39	344	17	327	1126.805	48.064	1078.742	10.054	0.49	9.564	84.357	4.169	80.188			
-52	2020-04-28	4628	197	4431	33	1	32	331	18	313	1134.898	48.309	1086.589	8.092	0.245	7.847	81.169	4.414	76.755			
-51	2020-04-29	4667	200	4467	39	3	36	314	17	297	1144.462	49.045	1095.417	9.564	0.736	8.828	77.0	4.169	72.832			
-50	2020-04-30	4700	202	4498	33	2	31	298	14	284	1152.554	49.535	1103.019	8.092	0.49	7.602	73.077	3.433	69.644			
-49	2020-05-01	4722	202	4520	22	0	22	269	14	255	1157.949	49.535	1108.414	5.395	0.0	5.395	65.965	3.433	62.532			
-48	2020-05-02	4744	203	4541	22	1	21	212	9	203	1163.344	49.781	1113.563	5.395	0.245	5.15	51.988	2.207	49.781			
-46	2020-05-04	4760	203	4557	16	0	16	206	9	197	1167.267	49.781	1117.487	3.924	0.0	3.924	50.516	2.207	48.309			
-45	2020-05-05	4821	207	4614	61	4	57	226	11	215	1182.226	50.761	1131.465	14.959	0.981	13.978	55.421	2.697	52.723			
-44	2020-05-06	4856	207	4649	35	0	35	228	10	218	1190.809	50.761	1140.048	8.583	0.0	8.583	55.911	2.452	53.459			
-43	2020-05-07	4890	207	4683	34	0	34	223	7	216	1199.147	50.761	1148.385	8.338	0.0	8.338	54.685	1.717	52.968			
-41	2020-05-09	4959	207	4752	69	0	69	259	5	254	1216.067	50.761	1165.306	16.92	0.0	16.92	63.513	1.226	62.287			
-39	2020-05-11	4988	207	4781	29	0	29	266	5	261	1223.179	50.761	1172.417	7.112	0.0	7.112	65.23	1.226	64.004			
-38	2020-05-12	5012	207	4805	24	0	24	268	4	264	1229.064	50.761	1178.303	5.885	0.0	5.885	65.72	0.981	64.739			
-37	2020-05-13	5047	208	4839	35	1	34	287	5	282	1237.647	51.007	1186.64	8.583	0.245	8.338	70.379	1.226	69.153			
-36	2020-05-14	5086	209	4877	39	1	38	265	2	263	1247.211	51.252	1195.959	9.564	0.245	9.319	64.984	0.49	64.494			
-35	2020-05-15	5106	211	4895	20	2	18	250	4	246	1252.115	51.742	1200.373	4.904	0.49	4.414	61.306	0.981	60.325			
-34	2020-05-16	5121	213	4908	15	2	13	231	6	225	1255.793	52.233	1203.561	3.678	0.49	3.188	56.647	1.471	55.175			
-31	2020-05-19	5174	214	4960	53	1	52	215	7	208	1268.79	52.478	1216.312	12.997	0.245	12.752	52.723	1.717	51.007			
-30	2020-05-20	5204	215	4989	30	1	29	216	8	208	1276.147	52.723	1223.424	7.357	0.245	7.112	52.968	1.962	51.007			
