Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	6	0	6	6	0	6	0	0	0	2.717	0.0	2.717	2.717	0.0	2.717	0.0	0.0	0.0			
-100	2020-03-11	21	0	21	15	0	15	0	0	0	9.51	0.0	9.51	6.793	0.0	6.793	0.0	0.0	0.0			
-99	2020-03-12	35	0	35	14	0	14	0	0	0	15.849	0.0	15.849	6.34	0.0	6.34	0.0	0.0	0.0			
-98	2020-03-13	46	0	46	11	0	11	0	0	0	20.831	0.0	20.831	4.981	0.0	4.981	0.0	0.0	0.0			
-97	2020-03-14	48	0	48	2	0	2	0	0	0	21.736	0.0	21.736	0.906	0.0	0.906	0.0	0.0	0.0			
-95	2020-03-16	83	0	83	35	0	35	0	0	0	37.585	0.0	37.585	15.849	0.0	15.849	0.0	0.0	0.0			
-94	2020-03-17	112	0	112	29	0	29	0	0	0	50.718	0.0	50.718	13.132	0.0	13.132	0.0	0.0	0.0			
-93	2020-03-18	150	0	150	38	0	38	144	0	144	67.926	0.0	67.926	17.208	0.0	17.208	65.209	0.0	65.209			
-92	2020-03-19	193	0	193	43	0	43	172	0	172	87.398	0.0	87.398	19.472	0.0	19.472	77.888	0.0	77.888			
-91	2020-03-20	244	1	243	51	1	50	209	1	208	110.492	0.453	110.039	23.095	0.453	22.642	94.643	0.453	94.19			
-90	2020-03-21	262	2	260	18	1	17	216	2	214	118.643	0.906	117.738	8.151	0.453	7.698	97.813	0.906	96.907			
-89	2020-03-22	276	4	272	14	2	12	228	4	224	124.983	1.811	123.172	6.34	0.906	5.434	103.247	1.811	101.435			
-88	2020-03-23	342	7	335	66	3	63	259	7	252	154.87	3.17	151.7	29.887	1.359	28.529	117.285	3.17	114.115			
-87	2020-03-24	404	11	393	62	4	58	292	11	281	182.946	4.981	177.965	28.076	1.811	26.265	132.228	4.981	127.247			
-86	2020-03-25	455	15	440	51	4	47	305	15	290	206.041	6.793	199.248	23.095	1.811	21.283	138.115	6.793	131.323			
-85	2020-03-26	513	17	496	58	2	56	320	17	303	232.305	7.698	224.607	26.265	0.906	25.359	144.908	7.698	137.21			
-84	2020-03-27	591	20	571	78	3	75	347	19	328	267.627	9.057	258.57	35.321	1.359	33.963	157.134	8.604	148.531			
-83	2020-03-28	633	20	613	42	0	42	371	18	353	286.646	9.057	277.589	19.019	0.0	19.019	168.003	8.151	159.851			
-82	2020-03-29	652	20	632	19	0	19	376	16	360	295.25	9.057	286.193	8.604	0.0	8.604	170.267	7.245	163.021			
