Days_Past	Date	Cases	Deaths	Recovered	Cases_New	Deaths_New	Recovered_New	Cases_Last_Week	Deaths_Last_Week	Recovered_Last_Week	Cases_Per_Million	Deaths_Per_Million	Recovered_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Recovered_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Recovered_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Recovered_Doubling_Time
-101	2020-03-10	11	0	11	11	0	11	0	0	0	5.133	0.0	5.133	5.133	0.0	5.133	0.0	0.0	0.0			
-100	2020-03-11	12	0	12	1	0	1	0	0	0	5.599	0.0	5.599	0.467	0.0	0.467	0.0	0.0	0.0			
-99	2020-03-12	23	0	23	11	0	11	0	0	0	10.732	0.0	10.732	5.133	0.0	5.133	0.0	0.0	0.0			
-98	2020-03-13	33	0	33	10	0	10	0	0	0	15.398	0.0	15.398	4.666	0.0	4.666	0.0	0.0	0.0			
-97	2020-03-14	51	0	51	18	0	18	0	0	0	23.797	0.0	23.797	8.399	0.0	8.399	0.0	0.0	0.0			
-95	2020-03-16	70	0	70	19	0	19	0	0	0	32.663	0.0	32.663	8.866	0.0	8.866	0.0	0.0	0.0			
-94	2020-03-17	101	0	101	31	0	31	0	0	0	47.128	0.0	47.128	14.465	0.0	14.465	0.0	0.0	0.0			
-93	2020-03-18	138	0	138	37	0	37	127	0	127	64.393	0.0	64.393	17.265	0.0	17.265	59.26	0.0	59.26			
-92	2020-03-19	192	0	192	54	0	54	180	0	180	89.59	0.0	89.59	25.197	0.0	25.197	83.99	0.0	83.99			
-91	2020-03-20	268	0	268	76	0	76	245	0	245	125.052	0.0	125.052	35.463	0.0	35.463	114.32	0.0	114.32			
-90	2020-03-21	306	2	304	38	2	36	273	2	271	142.784	0.933	141.851	17.731	0.933	16.798	127.386	0.933	126.452			
-89	2020-03-22	333	3	330	27	1	26	282	3	279	155.382	1.4	153.983	12.599	0.467	12.132	131.585	1.4	130.185			
-88	2020-03-23	384	4	380	51	1	50	314	4	310	179.18	1.866	177.313	23.797	0.467	23.331	146.517	1.866	144.65			
-87	2020-03-24	456	7	449	72	3	69	355	7	348	212.776	3.266	209.51	33.596	1.4	32.196	165.648	3.266	162.382			
-86	2020-03-25	535	10	525	79	3	76	397	10	387	249.638	4.666	244.972	36.862	1.4	35.463	185.246	4.666	180.58			
-85	2020-03-26	610	12	598	75	2	73	418	12	406	284.634	5.599	279.035	34.996	0.933	34.063	195.045	5.599	189.445			
-84	2020-03-27	683	16	667	73	4	69	415	16	399	318.697	7.466	311.231	34.063	1.866	32.196	193.645	7.466	186.179			
-83	2020-03-28	751	17	734	68	1	67	445	15	430	350.427	7.932	342.495	31.73	0.467	31.263	207.643	6.999	200.644			
