Accession,Length,Geo_Location,Host,Collection_Date,Continent
NC_045512,29903,China,Homo sapiens,2019-12,Asia
MT093631,29860,China,Homo sapiens,2020-01-08,Asia
MT079846,29903,China,Homo sapiens,2020-01-22,Asia
MT079847,29872,China,Homo sapiens,2020-01-22,Asia
MT079848,29880,China,Homo sapiens,2020-01-22,Asia
MT510728,29903,China,Homo sapiens,2020-02-13,Asia
MT582452,29782,Germany: Dusseldorf,Homo sapiens,2020-03-23,Europe
MT527184,29834,Italy: Lazio,Homo sapiens,2020-03-23,Europe
MT528235,29818,Italy: Lazio,Homo sapiens,2020-03-23,Europe
MT528238,29834,Italy: Lazio,Homo sapiens,2020-03-23,Europe
MT407655,29817,China: Zhejiang,Homo sapiens,2020-03-24,Asia
MT407656,29835,China: Zhejiang,Homo sapiens,2020-03-24,Asia
MT407657,29776,China: Zhejiang,Homo sapiens,2020-03-24,Asia
MT675956,29851,Turkey,Homo sapiens,2020-03-27,Asia
MT670023,29782,Chile,Homo sapiens,2020-03-27,South America
MT655132,29827,Spain: Donostia-San Sebatian,Homo sapiens,2020-03-27,Europe
MT655135,29832,Spain: Donostia-San Sebatian,Homo sapiens,2020-03-27,Europe
MT517420,29856,Czech Republic,Homo sapiens,2020-03-27,Europe
MT517421,29865,Czech Republic,Homo sapiens,2020-03-27,Europe
MT517429,29869,Czech Republic,Homo sapiens,2020-03-27,Europe
MT459837,29818,Greece: Athens,Homo sapiens,2020-03-29,Europe
MT459841,29818,Greece: Athens,Homo sapiens,2020-03-29,Europe
MT459896,29818,Greece: Athens,Homo sapiens,2020-03-29,Europe
LC556315,29890,Japan,Homo sapiens,2020-04,Asia
LC556316,29903,Japan,Homo sapiens,2020-04,Asia
LC556317,29899,Japan,Homo sapiens,2020-04,Asia
MT511066,29903,Poland,Homo sapiens,2020-04-01,Europe
MT511073,29903,Poland,Homo sapiens,2020-04-01,Europe
MT511082,29897,Poland,Homo sapiens,2020-04-01,Europe
MT622321,29835,Italy,Homo sapiens,2020-04-12,Europe
MT628211,29862,USA: CA,Homo sapiens,2020-04-23,North America
MT449662,29862,USA: CA,Homo sapiens,2020-04-23,North America
MT449673,29861,USA: CA,Homo sapiens,2020-04-23,North America
MT584996,29812,USA: Michigan,Homo sapiens,2020-04-26,North America
MT584997,29812,USA: Michigan,Homo sapiens,2020-04-26,North America
MT584998,29804,USA: Michigan,Homo sapiens,2020-04-26,North America
MT566435,29833,Bangladesh,Homo sapiens,2020-04-28,Asia
MT566436,29829,Bangladesh,Homo sapiens,2020-04-28,Asia
MT566437,29828,Bangladesh,Homo sapiens,2020-04-28,Asia
MT612152,29812,Australia: Victoria,Homo sapiens,2020-04-29,Australia
MT612153,29815,Australia: Victoria,Homo sapiens,2020-04-29,Australia
MT612155,29813,Australia: Victoria,Homo sapiens,2020-04-29,Australia
MT679167,29842,USA: Virginia,Homo sapiens,2020-05,North America
MT679168,29867,USA: Virginia,Homo sapiens,2020-05,North America
MT679169,29861,USA: Virginia,Homo sapiens,2020-05,North America
MT510690,29760,Egypt,Homo sapiens,2020-05-02,Africa
MT510691,29760,Egypt,Homo sapiens,2020-05-02,Africa
MT510692,29760,Egypt,Homo sapiens,2020-05-02,Africa
